;2009Q4;2010Q4;2011Q4;2012Q4;2013Q4;2014Q4;2015Q2;2015Q4;2016Q2;2016Q4;2017Q2;2017Q4;2018Q2;2018Q4;2019Q2;2019Q4;2020Q2;2020Q4;2021Q2;2021Q4;2022Q3;2022Q4;2023Q2;2023Q3;2023Q4;2024Q4;LTM
"Дата отчета";;;;;10.07.2018;10.07.2018;;01.07.2018;;28.04.2018;28.04.2018;28.04.2018;29.08.2018;30.04.2019;29.08.2019;30.04.2020;11.12.2020;30.04.2021;17.08.2021;;;30.04.2024;29.09.2023;25.12.2023;27.04.2024;;27.04.2024
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Выручка, млрд руб";;;;;;;674.2;;561.8;;638.8;536.2;730.2;"1 137";807.4;"1 008";561.5;620.5;915.0;;;;917.4;;"1 328";;"2 245"
"Операционная прибыль, млрд руб";;;;;;;;;;;;;;;;;;;;;;;236.2;;297.8;;534.0
"EBITDA, млрд руб";;;;;;;;;166.0;;154.6;184.1;229.1;253.0;256.0;208.0;91.0;158.0;242.0;;;;;;;;
"Чистая прибыль, млрд руб";;;;;;;133.6;;-105.0;;89.0;105.7;390.0;460.0;-15.5;121.5;438.8;304.2;153.0;;;;841.9;;480.1;;"1 322"
"Операционный денежный поток, млрд руб";;;;;;;;;;;;;;;;;;;;;;;150.4;;444.6;;595.0
"CAPEX, млрд руб";;;;;;;80.8;;83.4;;75.8;104.2;74.5;77.0;69.0;90.0;83.0;88.0;79.0;;;;126.7;;138.3;;265.0
"FCF, млрд руб";;;;;;;;;;;;;;;;;;;;;;;21.8;;600.7;;622.5
"Див.выплата, млрд руб";;;;;;;;;;;;33.9;;81.9;;30.7;;76.8;;65.0;;34.7;;;125.0;;
"Дивиденд, руб/акцию";;;;;;;;;;;;0,65;;0,65;;0,65;;0,7;;0,8;;0,8;;;0,85;;
"Див доход, ао, %";0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;;0.0%;0.0%;0.0%;0.0%;2.3%;0.0%;2.4%;0.0%;1.3%;0.0%;1.9%;0.0%;2.0%;0.0%;3.7%;0.0%;0.0%;3.2%;0.0%;0.0%
"Дивиденд ап, руб/акцию";;;;;;;;;;;;1,38;;7,62;;0,97;;6,72;;34,74;;0,8;;;12,29;;
"Див доход, ап, %";0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;;0.0%;0.0%;0.0%;0.0%;4.9%;0.0%;19.3%;0.0%;2.6%;0.0%;16.1%;0.0%;90.4%;0.0%;3.1%;0.0%;0.0%;22.1%;0.0%;0.0%
"Дивиденды/прибыль, %";;;;;;;0%;;0%;;0%;32%;0%;18%;0%;25%;0%;25%;0%;;;;0%;;26%;;0
"Опер. расходы, млрд руб";;;;;;;387.8;;352.7;;425.3;477.3;531.5;609.0;585.0;593.0;451.0;459.0;653.0;;;;681.2;;"1 030";;"1 711"
"Амортизация, млрд руб";;;;;;;;;;;;;;;;;;;;;;;52.0;;49.6;;101.6
"Расх на персонал, млрд руб";;;;;;;;;;;;;;;;;;;;;;;67.5;;83.7;;151.2
"Активы, млрд руб";;;;;;;;"4 052";;"3 922";;"4 240";;"5 136";;"5 268";"5 659";"5 876";"6 103";;;"6 489";"7 409";;"8 040";;"8 040"
"Чистые активы, млрд руб";;;;;"2 062";"2 909";;"3 582";"3 403";"3 445";"3 507";"3 613";"3 962";"4 426";"4 328";"4 449";"4 857";"5 160";"5 237";;;"5 799";"6 607";;"7 086";;"7 086"
