;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;LTM
"Дата отчета";;;;;10.07.2018;10.07.2018;01.07.2018;28.04.2018;28.04.2018;30.04.2019;30.04.2020;30.04.2021;;30.04.2024;27.04.2024;;27.04.2024
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Добыча нефти, млн т";;;60.8;61.4;61.5;61.4;61.6;61.8;60.5;60.9;60.8;54.8;;;;53.7;
"Переработка нефти, млн т";;;21.1;20.5;19.8;19.3;18.8;18.5;18.2;18.2;;17.8;;;;;
"Добыча газа, млрд м3";;;13.0;12.3;12.1;9.45;9.56;9.66;10.00;9.60;9.60;9.10;;;;6.20;
"Выручка, млрд руб";;;;;837.7;890.6;"1 274";"1 222";"1 364";"1 867";"1 815";"1 182";;"2 356";"2 245";;"2 245"
"Операционная прибыль, млрд руб";;;;;;;;;;;;;;654.6;534.0;;534.0
"EBITDA, млрд руб";;;;;265.8;237.4;314.6;337.6;338.7;482.0;464.0;249.0;;743.4;635.6;;
"Чистая прибыль, млрд руб";142.0;159.0;291.0;195.0;313.0;"1 068";282.6;307.9;313.1;403.0;106.0;743.0;;321.0;"1 322";;"1 322"
"Чистая прибыль н/с, млрд руб";;;;;;;761.6;-62.0;194.7;850.0;;;;;;;
"Операционный денежный поток, млрд руб";;;;;;;;;;;;;;692.0;595.0;;595.0
"CAPEX, млрд руб";;;;;;;;180.8;160.2;151.0;159.0;171.0;;227.0;265.0;;265.0
"FCF, млрд руб";;;;;;;22.5;74.8;;;;;;614.6;622.5;;622.5
"Див.выплата, млрд руб";24.0;27.0;38.0;29.0;40.0;86.0;75.0;26.1;33.9;81.9;30.7;76.8;65.0;34.7;125.0;97.6;
"Дивиденд, руб/акцию";0,45;0,5;0,6;0,5;0,6;0,65;0,6;0,6;0,65;0,65;0,65;0,7;0,8;0,8;0,85;0,9;
"Див доход, ао, %";1.7%;1.6%;2.4%;1.9%;2.1%;2.8%;1.8%;1.9%;2.3%;2.4%;1.3%;1.9%;2.0%;3.7%;3.2%;3.6%;0.0%
"Дивиденд ап, руб/акцию";1,0488;1,18;2,15;1,48;2,36;8,21;6,92;0,6;1,38;7,62;0,97;6,72;4,73;0,8;12,29;8,5;
"Див доход, ап, %";7.2%;7.5%;13.1%;7.4%;9.1%;27.8%;15.6%;1.9%;4.9%;19.3%;2.6%;16.1%;12.3%;3.1%;22.1%;14.1%;0.0%
"Дивиденды/прибыль, %";17%;17%;13%;15%;13%;8%;27%;8%;11%;20%;29%;10%;;11%;9%;;0
"Опер. расходы, млрд руб";;;;;620.4;727.8;758.6;760.3;902.6;"1 141";"1 178";910.0;;"1 701";"1 711";;"1 711"
"Амортизация, млрд руб";;;;;;;;;;;;;;88.8;101.6;;101.6
"Расх на персонал, млрд руб";;;;;;;81.2;86.9;98.0;101.5;113.7;120.5;;152.8;151.2;;151.2
