date,close,open,high,low,volume_rub,market_cap_bln
2025-02-10,15.26,15.21,15.58,15.15,909656693,
2025-02-11,15.785,15.26,15.79,15.245,849304908,
2025-02-12,16.5,15.8,16.54,15.42,1762411055,
2025-02-13,16.465,16.6,16.89,16.2,1267293902,
2025-02-14,16.245,16.6,17.1,16,1549128939,
2025-02-17,17.35,16.615,17.36,16.61,1449417213,
2025-02-18,16.86,17.4,17.585,16.42,1362003615,
2025-02-19,16.975,16.915,17.1,16.52,710072408,
2025-02-20,16.86,16.99,17.15,16.72,446291608,
2025-02-21,16.895,16.95,17.1,16.71,444131980,
2025-02-24,17.19,16.895,17.25,16.82,743532277,
2025-02-25,17.24,17.195,17.535,17.075,1024464479,
2025-02-26,16.46,17.255,17.4,16.165,1490727536,
2025-02-27,15.915,16.46,16.51,15.885,856926186,
2025-02-28,16.625,16.2,16.945,15.885,1665954196,
2025-03-01,16.71,16.65,16.795,16.65,13527164,
2025-03-02,16.28,16.6,16.67,16.25,58215591,
2025-03-03,16.44,16.3,16.585,15.855,990095165,
2025-03-04,17.25,16.5,17.44,16.5,1283780745,
2025-03-05,17.53,17.245,17.95,16.9,1270630410,
2025-03-06,17.4,17.57,18.09,17.195,1221386302,
2025-03-07,17.7,17.475,17.915,16.7,1587147712,
2025-03-10,17.51,17.7,17.925,17.42,423593764,
2025-03-11,17.385,17.54,17.665,17.065,564476161,
2025-03-12,17.275,17.43,17.495,16.995,520854214,
2025-03-13,17.195,17.3,17.515,16.595,1543825452,
2025-03-14,17.775,17.02,17.855,16.965,1368171480,
2025-03-15,17.935,17.78,17.995,17.71,80690840,
2025-03-16,18.24,17.9,18.285,17.9,203574785,
2025-03-17,18.715,18.235,18.795,18.13,1500284391,
2025-03-18,18.665,18.715,18.97,18.565,1396623876,
2025-03-19,18.84,18.67,18.86,18.315,1101328178,
2025-03-20,18.72,18.8,18.92,18.415,766605477,
2025-03-21,18.565,18.56,18.9,18.32,1033549571,
2025-03-24,18.305,18.46,18.585,18.16,695189287,
2025-03-25,18.37,18.305,18.495,17.85,859829431,
2025-03-26,17.965,18.37,18.5,17.775,757918807,
2025-03-27,16.915,17.95,18.06,16.88,1147615330,
2025-03-28,16.69,16.94,17.185,16.33,2294921538,
2025-03-29,16.265,16.8,16.81,16.26,123268986,
2025-03-30,16.26,16.275,16.485,16.26,79112148,
2025-03-31,16.97,16.15,17.085,16.005,1171069376,
2025-04-01,16.365,16.97,17.55,16.3,1410955007,
2025-04-02,16.745,16.36,17.02,16.3,1319721516,
2025-04-03,16.585,16.92,17,15.915,1380204117,
2025-04-04,15.455,16.75,16.875,15.325,1714060759,
2025-04-05,15.665,15.445,15.75,15.37,94311836,
