;2021Q4;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;LTM
"Дата отчета";01.12.2023;01.12.2023;15.03.2024;15.03.2024;30.11.2023;15.03.2024;16.05.2024;15.08.2024;15.11.2024;14.03.2025;16.05.2025;15.08.2025;14.11.2025;14.11.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Чистый операц доход, млрд руб";;;49.0;57.8;45.5;51.6;70.5;64.1;71.8;83.4;66.3;72.1;91.9;313.6
"Чист. проц. доходы, млрд руб";;;20.0;25.3;37.0;24.1;35.6;42.4;39.6;40.5;34.9;38.3;47.6;161.3
"Чист. комисс. доход, млрд руб";;;6.30;6.47;7.06;6.99;5.39;10.3;9.63;14.2;8.79;11.6;13.4;48.0
"Доходы по цб, млрд руб";;;19.1;20.5;9.62;0.970;7.96;-3.35;2.14;9.80;0.527;7.17;12.5;30.0
"Чистая прибыль, млрд руб";;;22.4;28.8;24.6;18.3;24.8;13.2;17.4;20.3;12.0;4.21;16.8;53.3
"Див.выплата, млрд руб";;;;;5.00;23.5;22.8;;;0.000;;;;0.000
"Дивиденд, руб/акцию";;;;;0,25;1,14;0;;;0,35;;;;0,35
"Див доход, ао, %";0.0%;0.0%;0.0%;0.0%;2.2%;8.3%;0.0%;0.0%;0.0%;2.5%;0.0%;0.0%;0.0%;2.6%
"Дивиденды/прибыль, %";;;0%;0%;20%;128%;92%;0%;0%;0%;0%;0%;0%;0
"Опер. расходы, млрд руб";;;22.5;21.2;22.3;28.2;26.7;31.7;34.0;39.4;38.6;38.1;38.9;154.9
"Расх на персонал, млрд руб";;;12.4;12.9;12.6;15.2;16.2;18.5;19.3;21.2;24.0;20.5;21.6;87.3
"Процентные расходы, млрд руб";;;31.3;61.3;42.5;36.7;86.4;99.7;115.3;136.5;146.9;145.1;141.3;569.8
"Создание резервов, млрд руб";;;11.9;9.26;8.18;3.13;17.2;15.1;18.9;22.7;12.0;25.1;26.9;86.6
"Наличность, млрд руб";;152.6;139.9;204.2;440.7;626.0;681.0;693.8;588.7;539.0;417.5;380.7;573.4;573.4
"Чистый долг, млрд руб";0.00;-152.6;-139.9;-204.2;-440.7;-626.0;-681.0;-693.8;-588.7;-539.0;-417.5;-380.7;-573.4;-573.4
"Активы банка, млрд руб";;"2 185";"2 272";"2 373";"2 791";"3 189";"3 615";"3 795";"3 815";"4 046";"3 876";"3 918";"4 312";"4 312"
"Капитал, млрд руб";242.0;191.7;213.9;246.4;268.3;297.1;334.9;335.9;350.2;371.4;364.1;374.9;389.0;389.0
"Кредитный портфель, млрд руб";"1 177";"1 387";"1 448";"1 527";"1 722";"1 895";"2 235";"2 462";"2 590";"2 780";"2 732";"2 831";"3 001";"3 001"
"Кредиты юрлицам, млрд руб";;840.7;879.3;891.2;"1 018";"1 136";"1 221";"1 181";"1 306";"1 428";"1 356";"1 440";"1 593";"1 593"
"Кредиты физлицам, млрд руб";;626.7;654.4;716.8;777.2;837.9;"1 101";"1 280";"1 284";"1 352";"1 376";"1 391";"1 408";"1 408"
"Депозиты, млрд руб";"1 419";"1 688";"1 809";"1 859";"2 199";"2 500";"2 726";"2 851";"2 805";"3 041";"2 827";"2 901";"3 171";"3 171"
"Депозиты юрлиц, млрд руб";;966.2;"1 060";"1 084";55.5;"1 670";"1 721";"1 828";"1 741";"1 854";"1 596";"1 617";"1 863";"1 863"
"Депозиты физлиц, млрд руб";;721.4;748.9;774.1;12.9;833.0;"1 005";"1 023";"1 064";"1 188";"1 231";"1 284";"1 308";"1 308"
"Резервы под обесценивание, млрд руб";;80.5;86.1;88.0;87.2;88.2;96.3;107.0;117.3;118.1;123.7;136.8;146.4;146.4
"Дост.осн капитала, %";;;;;;9.10%;10.6%;11.9%;10.1%;8.30%;8.80%;9.00%;8.70%;8.70%
"Дост. общ капитала, %";;;;;;11.2%;11.1%;10.7%;10.9%;10.1%;9.70%;10.5%;10.2%;10.2%
"Стоимость риска (CoR), %";;2.60%;2.80%;2.50%;1.50%;5.20%;2.00%;2.70%;3.00%;2.50%;2.20%;3.70%;3.40%;2.95%
"Расходы/Доходы (CIR), %";;;;;;;59.6%;55.2%;54.1%;57.0%;68.0%;61.0%;51.0%;59.3%
"Loan-to-deposit ratio, %";83%;82%;80%;82%;78%;76%;82%;86%;92%;91%;97%;98%;95%;95%
"Цена акции ао, руб";11.5;11.5;11.5;11.5;11.5;13.7;19.2;16.9;14.0;14.2;17.1;16.4;12.6;13.3
"Число акций ао, млн";"19 694";"19 694";"19 694";"19 694";"20 694";"20 694";"20 694";"20 694";"20 694";"22 516";"22 516";"22 516";"22 516";"22 516"
"Free Float, %";;;;;;4.70%;;10.1%;;14.2%;14.5%;15.0%;14.7%;14.7%
"Капитализация, млрд руб";226.5;226.5;226.5;226.5;238.0;283.5;397.7;349.5;289.3;320.1;384.3;369.3;284.5;300.5
"EV, млрд руб";226.5;73.9;86.6;22.3;-202.7;-342.5;-283.3;-344.3;-299.4;-218.9;-33.2;-11.4;-288.9;-272.9
"EPS, руб";0.00;0.00;1.14;1.46;1.19;0.89;1.20;0.64;0.84;0.90;0.53;0.19;0.74;2.37
"ROE, %";;;52.0%;55.2%;51.4%;45.0%;35.0%;27.0%;23.0%;26.0%;14.7%;6.0%;20.0%;20.0%
"Чистая процентная маржа, %";;;6.40%;6.70%;6.70%;6.50%;5.40%;5.90%;5.30%;5.10%;4.30%;4.70%;5.70%;4.95%
"Рентабельность банка, %";;;45.8%;49.9%;54.0%;35.5%;35.1%;20.6%;24.2%;24.3%;18.1%;5.83%;18.2%;17.0%
P/E;;;10.1;4.42;3.14;3.01;4.12;4.32;3.93;4.23;6.11;6.85;5.34;5.64
P/B;0.94;1.18;1.06;0.92;0.89;0.95;1.19;1.04;0.83;0.86;1.06;0.98;0.73;0.77
"Персонал, чел";;"25 666";"26 222";"26 882";"28 057";"28 944";"36 214";"35 634";"36 119";"35 996";"36 036";"35 976";"37 595";"37 595"
"Производительность труда, млн руб/чел/год";;0.00;1.87;2.15;1.62;1.78;1.95;1.80;1.99;2.32;1.84;2.00;2.44;8.34
"Расходы/чел/год, тыс.р";;0.00;473.6;481.0;449.1;523.4;447.1;518.3;535.5;589.0;664.6;570.7;574.8;"2 322"
"IR рейтинг";;;;;;3.3;3.3;3.3;3.3;3.3;3.9;3.9;4.4;4.4
"Качество фин.отчетности";;;;;;5;4;4;4;5;5;5;5;5
"Презентации для инвесторов";;;;;;1;1;1;1;1;4;4;4;4
"Присутствие на смартлабе";;;;;;3;4;4;4;3;4;4;4;4
"Годовой отчет";;;;;;5;1;1;1;5;5;5;5;5
"Сайт для инвесторов";;;;;;3;3;3;3;3;3;3;3;3
"Календарь инвесторов";;;;;;1;5;5;5;1;1;1;5;5
"Обратная связь";;;;;;5;5;5;5;5;5;5;5;5
