date,close,open,high,low,volume_rub,market_cap_bln
2025-02-10,700.3,698,707,696.8,1298577397,
2025-02-11,702.8,700.3,707,700,1108894874,
2025-02-12,737,702.6,739,693.7,3187290704,
2025-02-13,711.6,735.6,752.8,708,3640328727,
2025-02-14,716.9,698.7,738.7,675,3382790407,
2025-02-17,748.9,720.5,749.1,717.9,1681160106,
2025-02-18,737.5,749.1,750,731.9,1972527686,
2025-02-19,744.5,737.6,749.9,728.1,1128107692,
2025-02-20,745.3,744.5,750.3,736.8,1198352884,
2025-02-21,754.4,745.7,759.4,742,2093081787,
2025-02-24,752.8,749.9,757.6,742.1,1819886982,
2025-02-25,764.3,752.8,769.8,749.1,2819247281,
2025-02-26,737.3,764.3,769.5,729,2727076807,
2025-02-27,713,737.3,741.8,710,1855345672,
2025-02-28,732.4,713,740.7,704.2,2111534625,
2025-03-01,736.8,732.7,739.2,732.7,28934852,
2025-03-02,735.5,738,739,734.9,26201776,
2025-03-03,711.3,735.5,735.5,703.9,2414005860,
2025-03-04,714.7,711.3,725,705.8,2561537740,
2025-03-05,705,715,722.5,703.5,1889992737,
2025-03-06,700.5,705.1,709.8,692.2,1856769755,
2025-03-07,693,700.5,710,680.4,2315201610,
2025-03-10,683.6,693,698.6,680.6,1087756353,
2025-03-11,694.7,684.1,697.3,679.2,1143811375,
2025-03-12,694.1,694.7,699.5,683.2,937965973,
2025-03-13,710.3,694.2,723.2,686,2982971006,
2025-03-14,715.8,709,719.3,701.7,2112618463,
2025-03-15,717.6,715,719.6,714.1,22912655,
2025-03-16,724.8,716.6,726.2,716.6,97144672,
2025-03-17,714.8,724,731.5,709.2,2197888251,
2025-03-18,705,715.2,717.3,698,2437857247,
2025-03-19,699.9,705,709.3,695,1773677582,
2025-03-20,688.6,699.7,703,677.3,3916451036,
2025-03-21,693.9,687.1,695,681,1420588287,
2025-03-24,686.6,693,694.2,683.9,1094349825,
2025-03-25,697.9,685.7,701,675.1,1604439063,
2025-03-26,684.5,697.9,704,682,1085043387,
2025-03-27,675.9,684.5,686.4,675.6,1048034183,
2025-03-28,687.6,675.9,689.2,667.1,2199269123,
2025-03-29,676.8,686.8,688,676,113950803,
2025-03-30,662.2,676.4,676.8,661.8,249949408,
2025-03-31,673.3,663.9,688.1,661,1445037748,
2025-04-01,653.5,673.3,678,653,1220996073,
2025-04-02,673.2,654,673.9,640,2156358780,
2025-04-03,649.4,672.9,672.9,640.2,2205744620,
2025-04-04,618.2,652.9,654.8,614,2795323593,
2025-04-05,608.1,615.7,615.9,600.5,214220959,
2025-04-06,623.5,608.4,627,606.1,171921883,
2025-04-07,636.3,619,639.2,581.5,4189735530,
2025-04-08,621.1,638.1,649.8,616.7,2115124300,
2025-04-09,638.2,619.8,645.3,603,3459086216,
2025-04-10,649.9,639.4,655.6,621.6,3708034035,
2025-04-11,686.9,655.4,686.9,653.4,3488497750,
2025-04-12,695,689,697,688.1,245233683,
2025-04-13,695.6,696.4,697.3,694,75688334,
2025-04-14,686.4,696.7,696.7,677.2,2157745596,
2025-04-15,684.1,684,689.6,674.6,1406882102,
2025-04-16,685.9,684.4,693.6,675.5,1280168557,
2025-04-17,694,686,697.3,676.5,1914160170,
2025-04-18,693.4,690,698.7,680,1390221250,
2025-04-21,706.6,694.4,707.7,690.3,1595379091,
