;2008Q4;2009Q4;2010Q4;2011Q4;2012Q4;2013Q4;2014Q4;2015Q2;2015Q3;2015Q4;2016Q1;2016Q2;2016Q3;2016Q4;2017Q1;2017Q2;2017Q3;2017Q4;2018Q1;2018Q2;2018Q3;2018Q4;2019Q1;2019Q2;2019Q3;2019Q4;2020Q1;2020Q2;2020Q3;2020Q4;2021Q1;2021Q2;2021Q3;2021Q4;2022Q2;2022Q3;2022Q4;2023Q2;2023Q3;2023Q4;2024Q2;2024Q3;2024Q4;2025Q2;2025Q3;LTM
"Дата отчета";;23.11.2023;23.11.2023;23.11.2023;23.11.2023;10.07.2018;10.07.2018;;;10.07.2018;;;;30.03.2020;;;;24.04.2018;08.06.2018;28.08.2018;30.11.2018;29.03.2019;07.06.2019;28.08.2019;29.11.2019;31.03.2020;05.06.2020;28.08.2020;30.11.2020;31.03.2021;04.06.2021;27.08.2021;01.12.2021;15.03.2022;29.08.2022;;17.03.2023;29.08.2023;;15.03.2024;23.08.2024;;13.03.2025;27.08.2025;;27.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Добыча нефти, млн т";;;;;;;;;;;;;;;7.20;7.17;7.28;7.29;7.10;7.19;7.51;;7.33;7.50;7.52;7.45;7.28;5.98;6.29;6.46;6.46;6.97;7.16;7.24;;;;;;;;;;;;
"Переработка нефти, млн т";;;;;;;;;;;;;;;2.20;1.48;2.38;2.62;2.29;2.35;2.30;;2.31;2.49;2.81;2.86;2.96;2.93;3.18;2.98;2.96;3.36;2.69;3.65;;;;;;;;;;;;
"Добыча газа, млрд м3";;;;;;;;;;;;;;;0.254;0.235;0.234;;;0.224;0.234;;;;;;;;;;;;;;;;;;;;;;;;;
"Выручка, млрд руб";;;;;;;;144.5;134.6;138.6;121.0;146.9;147.4;164.9;166.4;152.3;170.4;192.1;188.3;234.0;252.8;235.4;227.3;222.3;241.8;240.9;198.3;136.3;187.4;273.9;257.8;311.1;323.8;312.6;790.8;;636.4;623.9;;965.2;931.1;;"1 099";878.1;;"1 977"
"Операционная прибыль, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;;30.4;26.2;47.5;34.1;54.5;65.7;64.7;62.5;254.3;;146.1;157.4;;199.2;197.0;;206.0;111.2;;317.2
"EBITDA, млрд руб";;;;;;;;44.8;37.4;;30.2;45.1;38.4;50.5;48.4;38.7;41.5;56.7;61.2;82.1;94.4;56.3;87.4;77.0;83.7;42.7;37.7;34.3;58.4;49.5;65.8;75.6;74.5;67.5;276.8;;170.3;168.7;;223.1;226.8;;251.6;144.4;;396.0
"Чистая прибыль, млрд руб";;;;;;;;29.5;23.3;;17.6;30.9;26.7;32.2;35.6;26.2;27.1;34.3;41.9;63.2;68.9;38.0;60.2;54.3;58.4;19.4;25.3;17.6;35.8;24.9;43.6;48.6;52.1;54.1;139.3;;145.7;147.7;;138.6;151.4;;154.7;58.0;;212.7
"Операционный денежный поток, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;;73.5;17.0;49.8;60.1;49.4;52.4;84.7;81.0;187.5;;170.2;96.9;;229.7;199.2;;225.9;104.7;;330.6
"CAPEX, млрд руб";;;;;;;;;;;22.1;25.3;21.6;26.7;19.4;20.5;19.7;25.3;20.0;24.0;23.2;30.8;19.3;20.1;21.9;34.6;24.7;24.7;26.5;28.8;17.4;24.9;30.4;46.3;71.4;;89.5;97.7;;125.9;80.5;;90.5;67.8;;158.3
"FCF, млрд руб";;;;;;;;;;;8.28;17.9;10.9;8.62;18.9;20.8;38.6;27.1;12.1;41.0;60.7;;41.4;16.6;85.1;9.41;48.8;-7.76;23.3;31.3;32.0;27.5;54.3;34.6;116.1;;80.7;-0.790;;103.8;116.1;;119.5;35.2;;154.7
"Див.выплата, млрд руб";;;;;;;;;;;;;;;;;64.5;28.3;;70.4;51.8;75.4;;114.3;56.7;0.148;;23.1;;28.6;;38.4;23.2;37.6;76.1;16.0;64.5;64.1;81.8;58.6;88.8;40.5;100.4;33.4;19.0;152.8
"Дивиденд, руб/акцию";;;;;;;;;;;;;;;;;27,78;12,16;;30,27;22,26;32,38;;40,11;24,36;0;;9,94;;12,3;;16,52;9,98;16,14;32,71;6,86;27,71;27,54;35,17;25,17;38,2;17,39;43,11;14,35;8,17;65,63
"Див доход, ао, %";;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;6.8%;2.5%;0.0%;4.5%;2.7%;4.4%;0.0%;5.2%;3.5%;0.0%;0.0%;1.8%;0.0%;2.4%;0.0%;3.1%;1.9%;3.2%;7.5%;1.9%;8.0%;5.4%;5.6%;3.5%;5.5%;2.7%;6.2%;2.1%;1.3%;12.1%
"Дивиденд ап, руб/акцию";;;;;;;;;;;;;;;;;27,78;12,16;;30,27;22,26;32,38;;40,11;24,36;1;;9,94;;12,3;;16,52;9,98;16,14;32,71;6,86;27,71;27,54;35,17;25,17;38,2;17,39;43,11;14,35;8,17;65,63
"Див доход, ап, %";;;;;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;9.6%;3.3%;0.0%;6.5%;3.9%;6.2%;0.0%;6.3%;3.9%;0.1%;0.0%;1.8%;0.0%;2.6%;0.0%;3.3%;2.1%;3.5%;8.2%;2.0%;8.1%;5.5%;5.7%;3.6%;5.6%;2.7%;6.3%;2.3%;1.4%;12.7%
"Дивиденды/прибыль, %";;;;;;;;0%;0%;;0%;0%;0%;0%;0%;0%;238%;82%;0%;111%;75%;199%;0%;211%;97%;1%;0%;131%;0%;115%;0%;79%;45%;69%;55%;;44%;43%;;42%;59%;;65%;58%;;72%
"Опер. расходы, млрд руб";;;;;;;;15.1;27.9;34.5;28.0;20.7;30.9;32.9;27.4;29.6;32.5;34.0;27.0;31.4;33.9;39.9;31.9;32.3;36.3;39.5;38.1;35.0;36.5;36.5;38.8;38.6;48.8;10.1;84.2;;92.4;94.0;;106.2;115.4;;164.0;131.4;;295.4
"Себестоимость, млрд руб";;;;;;;;23.9;17.9;;;;;;;;;;;;;;;;;;130.7;74.9;102.6;199.0;163.7;207.0;212.2;381.0;537.1;;493.1;482.8;;566.7;734.1;;889.9;764.8;;"1 655"
"Амортизация, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;;8.3;8.5;10.8;13.4;10.4;10.8;10.9;10.6;22.4;;26.2;30.6;;30.1;29.8;;32.4;33.2;;65.6
"Процентные расходы, млрд руб";;;;;;;;1.60;2.80;;;1.000;0.990;;;;;;;;;;;;;;;;;;;;;;1.94;;0.380;1.17;;0.930;1.54;;2.36;1.76;;4.12
"Активы, млрд руб";;;;;;;732.9;;;798.7;;;;"1 095";;;;"1 107";;;;"1 201";;;;"1 239";"1 237";"1 219";"1 266";"1 264";"1 317";"1 384";"1 447";"1 502";"1 635";;"1 676";"1 853";;"2 045";"2 108";;"2 205";"2 088";;"2 088"
"Чистые активы, млрд руб";;;;;;481.4;556.0;;;545.3;703.5;643.0;669.8;708.9;738.8;720.2;740.2;718.7;751.7;782.9;782.3;771.3;832.5;813.9;782.7;745.5;773.0;790.0;805.0;827.7;871.0;892.0;907.0;938.4;"1 035";;"1 096";"1 182";;"1 191";"1 284";;"1 322";"1 271";;"1 271"
"Долг, млрд руб";;109.3;108.5;101.7;70.1;49.3;28.7;;;18.2;54.1;122.0;103.0;54.1;50.2;40.9;33.0;46.8;26.0;20.6;17.0;15.0;15.1;12.0;13.0;41.2;64.5;51.5;35.6;34.6;34.4;32.6;34.0;32.2;22.2;;14.5;23.1;;22.9;22.0;;13.3;66.9;;66.9
