;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;LTM
"Дата отчета";;23.11.2023;23.11.2023;23.11.2023;23.11.2023;10.07.2018;10.07.2018;10.07.2018;30.03.2020;24.04.2018;29.03.2019;31.03.2020;31.03.2021;15.03.2022;17.03.2023;15.03.2024;13.03.2025;27.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Добыча нефти, млн т";;;;;;26.4;26.5;27.2;28.7;28.9;29.5;29.8;26.0;27.8;29.1;28.5;27.3;
"Переработка нефти, млн т";;;;;;;;9.40;9.53;8.69;8.92;10.3;12.0;12.7;16.6;17.5;17.1;
"Выручка, млрд руб";;380.7;468.0;417.6;444.1;455.0;476.4;552.7;580.1;681.2;910.5;932.3;795.8;"1 205";"1 427";"1 589";"2 030";"1 977"
"Операционная прибыль, млрд руб";;68.7;64.1;94.6;101.7;;106.5;130.5;144.1;162.6;263.4;254.3;138.1;247.4;400.4;356.6;403.0;317.2
"EBITDA, млрд руб";;80.6;76.6;106.8;119.5;123.7;127.7;155.6;165.6;185.3;294.0;290.8;179.9;283.4;447.1;391.7;478.4;396.0
"Чистая прибыль, млрд руб";;54.4;46.7;62.1;73.5;78.3;93.2;98.7;107.4;123.1;211.8;192.3;103.5;198.4;284.9;286.3;306.1;212.7
"Операционный денежный поток, млрд руб";;;;;;;136.5;140.5;141.4;190.3;245.7;248.8;200.4;267.5;357.7;326.6;425.1;330.6
"CAPEX, млрд руб";;;;;;;62.6;92.9;95.7;85.0;97.9;96.0;104.7;119.1;160.9;223.6;171.0;158.3
"FCF, млрд руб";;;;;;;73.9;47.6;45.7;105.3;147.8;152.8;95.7;148.4;196.8;103.0;235.6;154.7
"Див.выплата, млрд руб";;;11.7;16.5;20.0;19.2;24.6;26.0;55.1;92.9;197.5;150.0;51.7;99.2;156.5;204.4;229.6;152.8
"Дивиденд, руб/акцию";4,42;6,56;5,02;7,08;8,6;8,23;10,58;10,96;22,81;39,94;84,91;64,47;22,24;42,64;67,28;87,88;98,7;65,63
"Див доход, ао, %";;;3.4%;4.4%;3.9%;4.0%;5.1%;3.5%;5.3%;8.3%;11.5%;8.5%;4.3%;8.5%;19.3%;12.4%;14.3%;12.1%
"Дивиденд ап, руб/акцию";4,42;6,56;5,02;7,08;8,6;8,23;10,58;10,96;22,81;39,94;84,91;65,47;22,24;42,64;67,28;87,88;98,7;65,63
"Див доход, ап, %";;;;;;6.8%;7.9%;5.5%;9.7%;10.9%;16.3%;8.9%;4.7%;9.3%;19.7%;12.4%;14.5%;12.7%
"Дивиденды/прибыль, %";;0%;25%;27%;27%;25%;26%;26%;51%;75%;93%;78%;50%;50%;55%;71%;75%;72%
"Опер. расходы, млрд руб";;;;;;89.6;102.6;108.3;119.5;123.5;132.2;140.0;146.1;136.3;176.6;200.2;279.4;295.4
"Себестоимость, млрд руб";;;;;;;267.2;313.9;317.6;396.5;513.5;538.9;507.2;963.9;"1 030";"1 250";"1 624";"1 655"
"Амортизация, млрд руб";;;;;17.8;;;;;25.0;30.5;35.2;41.0;42.7;48.6;60.7;62.2;65.6
"Расх на персонал, млрд руб";;;;;;;49.2;54.6;41.3;41.7;51.9;55.1;60.7;70.5;82.0;109.0;126.2;
"Процентные расходы, млрд руб";;;;;;;1.38;1.03;0.800;0.160;0.846;2.22;3.35;2.43;2.32;2.10;3.90;4.12
"Активы, млрд руб";;;;;;;732.9;798.7;"1 095";"1 107";"1 201";"1 239";"1 264";"1 502";"1 676";"2 045";"2 205";"2 088"
"Чистые активы, млрд руб";;;;;;481.4;556.0;545.3;708.9;718.7;771.3;745.5;827.7;938.4;"1 096";"1 191";"1 322";"1 271"
"Долг, млрд руб";;109.3;108.5;101.7;70.1;49.3;28.7;18.2;54.1;46.8;15.0;41.2;34.6;32.2;14.5;22.9;13.3;66.9
"Наличность, млрд руб";;8.00;7.98;16.9;13.1;29.5;41.5;26.4;77.1;42.8;65.5;25.2;50.1;156.4;167.9;84.1;117.5;60.6
"Чистый долг, млрд руб";0.00;101.3;100.5;84.8;57.0;19.8;-12.8;-8.24;-23.0;4.02;-50.5;16.1;-15.5;-124.3;-153.4;-61.2;-104.2;6.35
"Цена акции ао, руб";;;148.7;160.7;218.0;207.6;207.6;317.0;427.0;478.8;737.9;759.7;514.2;499.6;348.4;710.6;690.0;542.4
"Число акций ао, млн";"2 179";"2 179";"2 179";"2 179";"2 179";"2 179";"2 179";"2 179";"2 179";"2 179";"2 179";"2 179";"2 179";"2 179";"2 179";"2 179";"2 179";"2 179"
"Цена акции ап, руб";;;;;;121.5;134.1;199.0;235.0;365.0;522.0;734.0;476.5;459.9;340.7;707.9;681.6;517.7
"Число акций ап, млн";147.5;147.5;147.5;147.5;147.5;147.5;147.5;147.5;147.5;147.5;147.5;147.5;147.5;147.5;147.5;147.5;147.5;147.5
"Free Float, %";;;;;;;;;32.0%;;;;;;;;;32.0%
"Капитализация, млрд руб";0.00;0.00;324.0;350.1;475.0;470.3;472.2;720.0;965.0;"1 097";"1 685";"1 763";"1 191";"1 156";809.3;"1 653";"1 604";"1 258"
"EV, млрд руб";0.00;101.3;424.5;434.9;532.0;490.1;459.4;711.8;942.0;"1 101";"1 634";"1 780";"1 175";"1 032";656.0;"1 591";"1 500";"1 264"
"Баланс стоимость, млрд руб";0.00;0.00;0.00;0.00;0.00;481.4;556.0;545.3;708.9;718.7;771.3;745.5;827.7;938.4;"1 096";"1 191";"1 322";"1 243"
"EPS, руб";0.00;25.0;21.4;28.5;33.7;35.9;42.8;45.3;49.3;56.5;97.2;88.2;47.5;91.1;130.8;131.4;140.5;97.6
"FCF/акцию, руб";0.00;0.00;0.00;0.00;0.00;0.00;33.9;21.8;21.0;48.3;67.8;70.1;43.9;68.1;90.3;47.3;108.1;71.0
"BV/акцию, руб";0.00;0.00;0.00;0.00;0.00;221.0;255.2;250.3;325.4;329.9;354.0;342.2;379.9;430.7;502.9;546.6;606.8;570.3
"Рентаб EBITDA, %";;21.2%;16.4%;25.6%;26.9%;27.2%;26.8%;28.2%;28.6%;27.2%;32.3%;31.2%;22.6%;23.5%;31.3%;24.7%;23.6%;20.0%
"Чистая рентаб, %";;14.3%;10.0%;14.9%;16.6%;17.2%;19.6%;17.9%;18.5%;18.1%;23.3%;20.6%;13.0%;16.5%;20.0%;18.0%;15.1%;10.8%
"Доходность FCF, %";;;0.0%;0.0%;0.0%;0.0%;16.3%;6.9%;4.9%;10.1%;9.2%;9.2%;8.5%;13.6%;25.9%;6.7%;15.7%;13.1%
"ROE, %";;;;;;16.3%;16.8%;18.1%;15.1%;17.1%;27.5%;25.8%;12.5%;21.1%;26.0%;24.0%;23.2%;16.7%
"ROA, %";;;;;;;12.7%;12.4%;9.8%;11.1%;17.6%;15.5%;8.2%;13.2%;17.0%;14.0%;13.9%;10.2%
P/E;;0.00;6.94;5.64;6.46;6.01;5.06;7.30;8.99;8.91;7.95;9.17;11.5;5.83;2.84;5.77;5.24;5.91
P/FCF;;;;;;;6.39;15.1;21.1;10.4;11.4;11.5;12.4;7.79;4.11;16.0;6.81;8.13
P/S;;0.00;0.69;0.84;1.07;1.03;0.99;1.30;1.66;1.61;1.85;1.89;1.50;0.96;0.57;1.04;0.79;0.64
P/BV;;;;;;0.98;0.85;1.32;1.36;1.53;2.18;2.37;1.44;1.23;0.74;1.39;1.21;1.01
EV/EBITDA;;1.26;5.54;4.07;4.45;3.96;3.60;4.57;5.69;5.94;5.56;6.12;6.53;3.64;1.47;4.06;3.13;3.19
Долг/EBITDA;;1.26;1.31;0.79;0.48;0.16;-0.10;-0.05;-0.14;0.02;-0.17;0.06;-0.09;-0.44;-0.34;-0.16;-0.22;0.02
"Персонал, чел";;;;;;;;"73 000";"73 000";"54 000";"48 078";;"62 800";"64 999";"66 098";"70 180";"71 156";
"Производительность труда, млн руб/чел/год";;;;;;;;7.57;7.95;12.6;18.9;;12.7;18.5;21.6;22.6;28.5;
"Расходы/чел/год, тыс.р";;;;;;;;748.4;566.0;772.8;"1 080";;966.2;"1 084";"1 240";"1 553";"1 774";
"R&D/CAPEX, %";;;;;;;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0
"CAPEX/Выручка, %";;0%;0%;0%;0%;0%;13%;17%;16%;12%;11%;10%;13%;10%;11%;14%;8%;8%
