date,close,open,high,low,volume_rub,market_cap_bln
2025-02-10,1130.4,1126.8,1156,1126.8,1437565175,
2025-02-11,1183.6,1130.6,1188.2,1130.6,2217281570,
2025-02-12,1253,1185.2,1265,1183,4351167319,
2025-02-13,1233.6,1270,1311.8,1221,3294369188,
2025-02-14,1209,1220.2,1268.4,1187,3265015051,
2025-02-17,1255.6,1234,1260,1224.8,2365307442,
2025-02-18,1233.6,1259.6,1265.8,1222.8,2093838073,
2025-02-19,1246,1234.6,1252,1230,1034019937,
2025-02-20,1235.2,1246,1256.8,1231.4,1422278667,
2025-02-21,1225.6,1234.6,1246,1210.4,1487611171,
2025-02-24,1237,1229.8,1247.4,1215.2,1837786782,
2025-02-25,1232.6,1239.6,1247,1225.4,1597531527,
2025-02-26,1197.6,1233,1239,1183.2,1988922244,
2025-02-27,1172,1198.2,1201,1162.4,1637909942,
2025-02-28,1178.4,1170.2,1190,1155.2,1517291851,
2025-03-01,1190.6,1181.2,1194.8,1181.2,45210116,
2025-03-02,1179.8,1190,1197.4,1173.8,94602314,
2025-03-03,1154.2,1179.8,1181.4,1141.2,1886007311,
2025-03-04,1161,1161.8,1177.6,1144,2269293986,
2025-03-05,1144.2,1164,1166.8,1137,2062165396,
2025-03-06,1150.8,1147,1161.2,1132,1287619041,
2025-03-07,1141,1151.4,1160.4,1120,1438253515,
2025-03-10,1167.6,1141.2,1182,1141,1714873837,
2025-03-11,1159.8,1172,1182.4,1146,2069332210,
2025-03-12,1159.6,1162.8,1169,1144,780879490,
2025-03-13,1152,1161.8,1165.6,1137.2,1661834519,
2025-03-14,1165.6,1148,1172,1146,938625080,
2025-03-15,1168.8,1165.6,1172,1165.6,49669676,
2025-03-16,1184,1170,1186.6,1169.6,171416915,
2025-03-17,1192,1183.8,1204,1179.6,1772993484,
2025-03-18,1190,1192,1220,1182,2427891347,
2025-03-19,1253.8,1190.4,1258,1190.4,3362913628,
2025-03-20,1245.6,1253.8,1277,1235.8,2676301514,
2025-03-21,1231.8,1245,1256.8,1222,1331419414,
2025-03-24,1234.8,1233,1265.8,1222.2,1881715687,
2025-03-25,1231,1234.8,1248.8,1200.2,1761256042,
2025-03-26,1210,1232,1239,1204.4,835247754,
2025-03-27,1176,1202,1210.2,1171.8,1529215926,
2025-03-28,1200.8,1176,1217.2,1161.4,3616184929,
2025-03-29,1195.6,1202,1206.4,1185.4,192825189,
2025-03-30,1170.8,1195,1197.4,1170.8,283220272,
2025-03-31,1257.4,1170,1259,1153.2,3326466482,
2025-04-01,1227.2,1259.4,1272,1212,3947864918,
2025-04-02,1280.2,1227.6,1288.8,1217.6,3726508037,
2025-04-03,1271,1280.2,1302.8,1246.8,3317156839,
2025-04-04,1208.4,1279,1282.2,1198,3551457732,
2025-04-05,1207.4,1202,1218.8,1184.4,332541645,
2025-04-06,1221.8,1209,1230,1204.8,194344425,
2025-04-07,1196.8,1201,1217,1148.2,3534365135,
2025-04-08,1215,1208.8,1260,1200.6,3073227286,
2025-04-09,1249.4,1215,1257.4,1190.2,2825894176,
2025-04-10,1239.8,1249,1258,1229,761938070,
2025-04-11,1247,1228.8,1255,1228.8,1299117237,
2025-04-12,1259.6,1247.4,1263.8,1247.4,157166135,
2025-04-13,1264.2,1265.8,1269.6,1260.2,200748406,
2025-04-14,1236.8,1264.2,1267.8,1230.8,920710622,
2025-04-15,1267.2,1243.2,1274.6,1233.8,1560279728,
2025-04-16,1286.6,1265.2,1301.4,1256.2,2624356006,
2025-04-17,1313.6,1286,1316.4,1282.2,2452387321,
2025-04-18,1287,1302,1303.4,1268.8,1696017904,
2025-04-21,1316,1292.4,1319.6,1280,1461378869,
2025-04-22,1309,1324.8,1334.8,1291,2511777060,
2025-04-23,1286.6,1313,1314,1281.6,1384953460,
2025-04-24,1291.6,1288,1308.8,1285.2,1500728724,
2025-04-25,1317.6,1292.8,1325,1292.8,1562271851,
2025-04-26,1317.4,1317.6,1329.8,1312.6,178589060,
2025-04-27,1322.4,1318,1323.6,1317.2,42553442,
2025-04-28,1297.2,1322.4,1323.6,1294.8,1673716216,
2025-04-29,1288.2,1297.2,1304,1281.2,1049585403,
2025-04-30,1273.4,1288.2,1289.8,1263.2,969305895,
2025-05-02,1246,1273.4,1277.4,1243.4,473735446,
2025-05-03,1251.2,1244.2,1253.6,1240.8,42355763,
2025-05-04,1256,1253,1268.8,1250.2,49517870,
2025-05-05,1227.8,1255.6,1257.2,1202,1074235191,
2025-05-06,1230,1231,1257.4,1217.2,1191334120,
2025-05-07,1231.2,1230.2,1238,1213.4,1952449303,
2025-05-08,1227.4,1231,1245.2,1222,701486761,
2025-05-10,1230.8,1229.8,1233.8,1227.4,47145225,
2025-05-11,1246,1240,1253.8,1237.4,184066489,
2025-05-12,1243.8,1249.2,1255.8,1234,1219263307,
2025-05-13,1224,1243,1247.8,1215.6,2184964202,
2025-05-14,1210,1221.2,1232,1207.4,1243299030,
2025-05-15,1214,1209.8,1227,1202,1765857666,
2025-05-16,1208.8,1216,1219.8,1192,1309891776,
2025-05-17,1218.8,1210.2,1221.8,1210.2,70763196,
2025-05-18,1226.2,1222,1228.8,1221,76819664,
2025-05-19,1221.4,1226,1231.2,1213,1198996127,
2025-05-20,1250,1224.2,1259.8,1216.6,2065887689,
2025-05-21,1232,1251.2,1255.2,1225.2,1460542645,
2025-05-22,1236.2,1234.6,1252,1211,1740347024,
2025-05-23,1232,1239,1244.4,1227.6,702493411,
2025-05-26,1230,1232,1241.2,1210.2,1065158946,
2025-05-27,1269.4,1230,1270.4,1221.6,1605856394,
2025-05-28,1281.8,1270,1297.6,1247.2,2767622934,
2025-05-29,1271.2,1287,1294.8,1270,1107704580,
2025-05-30,1293.6,1271.2,1301.8,1271.2,1559916537,
2025-05-31,1296.8,1296.8,1298.4,1291.6,58386679,
2025-06-01,1270.8,1296.8,1298,1255,530157277,
2025-06-02,1303.6,1280,1318.4,1270.2,3610969161,
2025-06-03,1321.4,1307,1322,1304,1559249808,
2025-06-04,1312,1323,1335.4,1308.4,1336607491,
2025-06-05,1339.4,1316,1349.6,1312.4,1545844085,
2025-06-06,1329.8,1339.4,1360,1325.4,1774240901,
2025-06-07,1336.6,1336.6,1340,1320.8,83215163,
2025-06-08,1337.4,1337.4,1340,1335,52611859,
2025-06-09,1316,1337.8,1340,1301,1068791421,
2025-06-10,1306,1317.2,1324,1300,723342922,
2025-06-11,1300.8,1310,1312.6,1292.2,732487945,
2025-06-13,1313.4,1311.8,1319.2,1304,342666049,
2025-06-14,1320,1313.4,1322,1313,73592490,
2025-06-15,1319.2,1325,1331,1309.6,145002408,
2025-06-16,1317.6,1320,1324,1310,451764807,
2025-06-17,1318.4,1315.4,1326.8,1312,546908185,
2025-06-18,1331.4,1318.2,1340,1315.8,775644063,
2025-06-19,1337,1337.8,1349,1327.4,725668028,
2025-06-20,1350.8,1340,1353,1330.4,724296564,
2025-06-23,1379.8,1357,1398,1353.6,2158449909,
2025-06-24,1361,1375.2,1387.6,1347,1641459413,
2025-06-25,1377.4,1364.8,1382.4,1358.8,842928809,
2025-06-26,1402.8,1376.4,1404,1376.4,1331654778,
2025-06-27,1390.2,1403.2,1408,1367.2,2546995655,
2025-06-28,1388,1390.2,1390.4,1385,71907964,
2025-06-29,1380.8,1387.8,1389,1376.4,115710871,
2025-06-30,1382.6,1380.8,1387,1372.2,1002829879,
2025-07-01,1402.8,1383.6,1408.2,1375,1644521474,
2025-07-02,1414.4,1404.4,1418.6,1396.8,1060381713,
2025-07-03,1428,1419,1437.8,1401,1211750279,
2025-07-04,1418.6,1425,1440,1402.4,1522545553,
2025-07-05,1424.2,1423.8,1424.4,1419.6,31794233,
2025-07-06,1419,1424.2,1424.4,1416.6,28990279,
2025-07-07,1406.4,1419,1424.8,1405,638822085,
2025-07-08,1390.2,1406.4,1416,1387,960945279,
2025-07-09,1401.2,1392,1421.6,1385,1312710786,
2025-07-10,1408.2,1397.6,1418.2,1397.6,841315712,
2025-07-11,1390,1410,1410,1387,1099272441,
2025-07-12,1387.2,1390.2,1392.6,1384.6,45804688,
2025-07-13,1384,1387.2,1392.6,1383.8,49559146,
2025-07-14,1416,1380,1419.6,1357.4,1653333470,
2025-07-15,1434,1416,1435,1413.8,1324865208,
2025-07-16,1499,1432.4,1499,1431.4,3632829605,
2025-07-17,1306,1340,1348,1302,4162292620,
2025-07-18,1339,1309.4,1352,1306,1935166516,
2025-07-19,1344,1345.8,1348.8,1341,123428995,
2025-07-20,1345.2,1344.6,1349,1342.4,82136863,
2025-07-21,1334.2,1346,1354.8,1330.8,1175710863,
2025-07-22,1352,1334.2,1352.8,1330.8,880239536,
2025-07-23,1334.2,1352,1362,1319.4,1951772349,
2025-07-24,1318.6,1338.4,1340,1310.6,839112356,
2025-07-25,1321.4,1318.6,1331.6,1314,1075910278,
2025-07-26,1323.8,1327.8,1327.8,1321.8,18493767,
2025-07-27,1328.4,1325,1329.8,1323,24198918,
2025-07-28,1301,1331.6,1332,1298,744458825,
2025-07-29,1291,1301.6,1308.6,1284.2,614037083,
2025-07-30,1263.6,1291,1293.8,1261.6,977181593,
2025-07-31,1285.2,1266.6,1296,1263.2,679075631,
2025-08-01,1311,1285.2,1314.8,1283.2,955416469,
2025-08-04,1316.8,1311.2,1322.8,1301,1134622450,
2025-08-05,1319,1321.8,1323,1313,516449163,
2025-08-06,1330.6,1320,1343,1312,1163964984,
2025-08-07,1342.6,1330,1357.2,1327,1651731521,
2025-08-08,1357.4,1341.2,1357.8,1339.2,1078289951,
2025-08-11,1346,1360,1372.4,1342.8,1331288628,
2025-08-12,1341.6,1346.6,1353.8,1340,800477679,
2025-08-13,1342,1342.2,1348,1334.8,630831125,
2025-08-14,1337.2,1342.8,1342.8,1324,809582646,
2025-08-15,1343.4,1339,1353,1337.2,895422225,
2025-08-16,1332.6,1338,1340,1325,141169977,
2025-08-17,1330.2,1330.4,1334.6,1328,40770296,
2025-08-18,1340.4,1331,1349,1326.4,633354505,
2025-08-19,1337.4,1340.6,1353.4,1333.2,636192643,
2025-08-20,1330,1337.4,1342.4,1320.4,461131428,
2025-08-21,1312.6,1330.8,1331.8,1307.8,506932545,
2025-08-22,1322.4,1310.2,1323,1298,820785849,
2025-08-23,1325.8,1322.2,1327.2,1319.4,26172838,
2025-08-24,1321,1325.8,1325.8,1316.2,27295129,
2025-08-25,1319.4,1321,1332.8,1312,639981565,
2025-08-26,1309.2,1320,1331.4,1304,576954946,
2025-08-27,1311,1305.4,1315,1305.4,296595502,
2025-08-28,1299.2,1313.6,1316.8,1292.6,548442643,
2025-08-29,1314.6,1300,1316,1297.2,564132037,
2025-08-30,1316,1316,1317.4,1311.4,32178554,
2025-08-31,1319,1317,1320,1316.2,32359422,
2025-09-01,1313.6,1320,1329.6,1309.8,305237184,
2025-09-02,1318.6,1313.6,1322.4,1305,476327449,
2025-09-03,1317.2,1320,1324.4,1306.4,534774050,
2025-09-04,1327.6,1315,1336,1311.8,748614654,
2025-09-05,1343.8,1328.8,1345,1321.4,743772967,
2025-09-06,1341,1344.2,1347.4,1340.4,26991175,
2025-09-07,1344.8,1341,1345.6,1340,30166407,
2025-09-08,1344,1346,1349,1331.8,466416955,
2025-09-09,1328,1343.6,1347.6,1318.2,903829554,
2025-09-10,1314.6,1328,1328,1311.6,753401915,
