;2010Q4;2011Q4;2012Q4;2013Q4;2014Q1;2014Q2;2014Q3;2014Q4;2015Q1;2015Q2;2015Q3;2015Q4;2016Q1;2016Q2;2016Q3;2016Q4;2017Q1;2017Q2;2017Q3;2017Q4;2018Q1;2018Q2;2018Q3;2018Q4;2019Q1;2019Q2;2019Q3;2019Q4;2020Q1;2020Q2;2020Q3;2020Q4;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;LTM
"Дата отчета";;;;10.07.2018;15.06.2020;15.06.2020;15.06.2020;01.07.2018;15.06.2020;15.06.2020;;01.07.2018;;;;01.07.2018;;;;01.06.2018;01.06.2018;28.08.2018;29.11.2018;29.03.2019;31.05.2019;29.08.2019;29.11.2019;27.03.2020;11.06.2020;02.10.2020;02.12.2020;30.03.2021;28.05.2021;30.08.2021;30.11.2021;05.09.2023;05.09.2023;05.09.2023;13.12.2023;20.03.2024;05.09.2023;29.08.2023;30.11.2023;20.03.2024;30.05.2024;29.08.2024;28.11.2025;28.03.2025;30.05.2025;29.08.2025;28.11.2025;28.11.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Транспорт нефти, млн т";;;;;;;;;;;;;;;;;;;;;;;;;;;;;120.2;109.0;105.6;104.4;105.6;112.0;114.5;;;;;;;;;;;;;;;;;
"Транспорт нефтепродуктов, млн т";;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.5;9.30;9.20;8.90;9.50;9.70;9.60;;;;;;;;;;;;;;;;;
"Выручка, млрд руб";;;;;188.1;189.8;196.0;200.5;201.5;205.6;203.0;205.6;204.0;213.4;211.6;219.1;219.0;219.3;219.6;226.5;225.2;219.2;252.7;282.8;260.1;260.2;272.5;271.3;263.0;228.0;225.0;246.0;253.0;276.0;276.3;;312.5;303.5;293.2;295.5;314.2;322.5;343.0;351.2;369.1;348.1;344.6;362.2;361.6;357.9;360.3;"1 442"
"Операционная прибыль, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89.8;86.2;65.9;56.2;95.4;94.5;68.0;52.9;102.3;80.5;59.4;40.1;99.1;89.3;82.6;311.0
"EBITDA, млрд руб";;;;;91.0;86.7;86.9;83.8;101.3;95.2;91.6;80.1;107.3;101.6;106.5;89.8;110.2;105.5;102.0;91.0;107.5;100.7;106.4;118.8;129.8;118.0;129.0;109.2;134.0;116.0;93.0;100.0;116.0;123.0;116.5;;137.0;135.7;128.0;110.7;149.8;147.9;135.1;120.0;159.9;138.9;117.0;129.2;158.6;148.7;141.6;578.1
"Чистая прибыль, млрд руб";;;;;62.6;29.4;26.0;-58.5;63.4;54.6;14.6;10.8;75.6;58.5;48.0;50.7;79.5;34.4;53.0;24.9;47.0;34.4;79.0;65.0;53.9;55.8;38.2;31.1;57.0;15.0;38.0;23.0;50.0;55.2;47.0;;70.8;48.3;48.2;75.3;88.5;93.0;63.8;51.2;91.9;72.5;82.1;41.2;80.3;73.1;79.4;273.9
"Операционный денежный поток, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;157.9;98.2;166.3;71.2;67.6;90.1;198.7;77.4;113.2;62.8;196.0;68.5;60.7;137.9;463.1
"CAPEX, млрд руб";;;;;;;;;77.4;75.6;101.9;78.5;78.7;88.4;65.2;89.3;74.5;101.8;70.0;60.6;64.3;62.4;66.1;76.1;60.3;66.6;61.5;82.1;59.0;45.0;46.0;49.0;38.0;44.5;45.6;;;81.1;52.6;73.3;47.1;62.9;58.0;100.4;63.1;76.7;82.0;130.0;79.0;80.4;84.4;373.8
