;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;LTM
"Дата отчета";;;;;;10.07.2018;01.07.2018;01.07.2018;01.07.2018;01.06.2018;29.03.2019;27.03.2020;30.03.2021;05.09.2023;20.03.2024;20.03.2024;28.03.2025;28.11.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Выручка, млрд руб";;;;;;749.6;774.4;815.7;848.1;884.3;980.0;"1 064";962.0;;"1 205";"1 331";"1 424";"1 442"
"Операционная прибыль, млрд руб";;;;;;;;;;;;;;;298.1;309.7;282.3;311.0
"EBITDA, млрд руб";;;;;;250.0;348.4;368.2;405.2;408.7;433.4;486.0;443.0;;511.4;552.8;545.0;578.1
"Чистая прибыль, млрд руб";;;;;;152.9;59.5;143.4;232.8;191.8;225.4;179.0;133.0;152.2;242.6;304.2;287.7;273.9
"Операционный денежный поток, млрд руб";;;;;;;;;;;;;;;422.4;425.1;449.3;463.1
"CAPEX, млрд руб";;;;;;;;333.4;321.6;306.9;268.8;270.5;199.0;;207.0;268.4;351.7;373.8
"FCF, млрд руб";;;;;;;;118.5;;;78.0;93.0;140.0;;266.0;224.6;177.0;207.2
"Див.выплата, млрд руб";;;1.22;2.78;4.87;7.90;2.95;12.8;30.6;82.5;77.6;84.2;66.9;76.1;120.8;128.5;143.7;143.7
"Дивиденд, руб/акцию";;;;;;;;;;11453,76;10705,95;11612,2;9224,28;10497,36;16665,2;177,2;198,25;198,25
"Див доход, ао, %";;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;6.4%;6.3%;6.6%;6.6%;6.6%;19.0%;12.2%;16.2%;15.9%
"Дивиденд ап, руб/акцию";258,54;236,78;250,39;314,73;716,58;685,1;724,21;757,87;4296,48;11453,76;10705,95;11612,2;9224,28;10497,36;16665,2;177,2;198,25;198,25
"Див доход, ап, %";;;0.7%;0.6%;1.0%;0.8%;0.6%;0.4%;2.2%;6.4%;6.3%;6.6%;6.6%;6.6%;19.0%;12.2%;16.2%;14.1%
"Дивиденды/прибыль, %";;;;;;5%;5%;9%;13%;43%;34%;47%;50%;50%;50%;42%;50%;52%
"Опер. расходы, млрд руб";;;;;;499.1;541.1;581.6;439.9;476.1;546.1;578.0;519.0;;693.4;778.1;878.8;878.5
"Амортизация, млрд руб";;;;;;;;;;;;;;;213.3;242.0;230.8;235.2
"НИОКР, млрд руб";;;;;;;10.8;11.4;;;;;;;;;;
"Расх на персонал, млрд руб";;;;;;;114.5;132.2;144.6;149.9;163.6;172.3;186.0;;228.1;266.0;306.5;343.6
"Процентные расходы, млрд руб";;;;;;64.4;134.9;44.7;46.2;46.2;53.2;55.3;48.8;;38.7;31.7;24.7;20.5
"Активы, млрд руб";;;;;;;;"2 695";"2 767";"2 888";"3 190";"3 330";"3 331";;"3 379";"3 542";"3 691";"3 715"
"Чистые активы, млрд руб";;;;;;"1 289";"1 342";"1 488";"1 715";"1 849";"2 032";"2 127";"2 182";;"2 485";"2 689";"2 858";"2 960"
"Долг, млрд руб";;;;;;580.6;759.2;865.0;701.5;688.9;673.0;637.0;590.0;;430.0;346.2;275.9;225.2
"Наличность, млрд руб";;;;;;104.7;113.1;92.7;74.6;76.2;101.9;83.6;62.8;;464.6;492.9;514.9;427.6
"Чистый долг, млрд руб";0.00;0.00;0.00;0.00;0.00;475.8;646.1;772.3;626.9;612.7;571.1;553.4;527.2;0.00;-34.6;-146.7;-239.0;-202.4
"Цена акции ао, руб";;;"37 795";"49 600";"69 015";"86 539";"126 000";"194 000";"197 950";"179 900";"171 000";"176 750";"140 550";"158 500";"87 550";"1 450";"1 227";"1 245"
"Число акций ао, млн";;;5.55;5.55;5.55;5.55;5.55;5.55;5.55;5.55;5.69;5.69;5.69;5.69;5.69;569.4;569.4;569.4
"Цена акции ап, руб";;;"37 795";"49 600";"69 015";"86 539";"126 000";"194 000";"197 950";"179 900";"171 000";"176 750";"140 550";"158 500";"87 550";"1 450";"1 227";"1 405"
"Число акций ап, млн";;;1.55;1.55;1.55;1.55;1.55;1.56;1.56;1.56;1.56;1.56;1.56;1.56;1.56;155.5;155.5;155.5
