date,close,open,high,low,volume_rub,market_cap_bln
2025-02-10,0.7819,0.831,0.831,0.777,3870872105,
2025-02-11,0.7925,0.782,0.801,0.782,1116795050,
2025-02-12,0.7842,0.7925,0.7989,0.7478,4196928721,
2025-02-13,0.7724,0.7842,0.819,0.7618,2826029491,
2025-02-14,0.763,0.7401,0.8099,0.7204,866421351,
2025-02-17,0.7753,0.7673,0.7827,0.7663,839055264,
2025-02-18,0.764,0.777,0.7799,0.7607,489612337,
2025-02-19,0.7661,0.7643,0.7749,0.7602,432088095,
2025-02-20,0.7693,0.769,0.7838,0.764,905773124,
2025-02-21,0.7685,0.7695,0.7814,0.7613,438822433,
2025-02-24,0.7715,0.772,0.7745,0.763,463694512,
2025-02-25,0.7721,0.772,0.7808,0.7634,574505756,
2025-02-26,0.7434,0.7721,0.778,0.7382,805785363,
2025-02-27,0.7209,0.7434,0.7449,0.7143,652660785,
2025-02-28,0.7274,0.72,0.7344,0.6977,665620954,
2025-03-01,0.7334,0.7288,0.7346,0.728,13230384,
2025-03-02,0.7343,0.7339,0.7371,0.73,19755533,
2025-03-03,0.7133,0.7329,0.7362,0.7055,357883388,
2025-03-04,0.7399,0.7145,0.75,0.7145,442842713,
2025-03-05,0.762,0.74,0.777,0.7279,1789596433,
2025-03-06,0.75,0.762,0.7697,0.7419,430149026,
2025-03-07,0.7365,0.7484,0.7605,0.725,465848138,
2025-03-10,0.7388,0.7365,0.7483,0.7323,233737906,
2025-03-11,0.7396,0.739,0.7437,0.7309,172429652,
2025-03-12,0.7466,0.7397,0.75,0.7286,306988572,
2025-03-13,0.7459,0.747,0.7584,0.7227,413387440,
2025-03-14,0.755,0.7465,0.7637,0.7414,561656755,
2025-03-15,0.7568,0.7555,0.76,0.7502,35803718,
2025-03-16,0.7614,0.7569,0.7624,0.7561,43454181,
2025-03-17,0.7655,0.7625,0.77,0.7575,430945778,
2025-03-18,0.7547,0.7671,0.7692,0.7469,315956646,
2025-03-19,0.7614,0.7547,0.7664,0.7522,313306203,
2025-03-20,0.7587,0.764,0.776,0.7552,502428621,
2025-03-21,0.7492,0.7578,0.7619,0.743,212920379,
2025-03-24,0.7318,0.7492,0.7521,0.7277,261899118,
2025-03-25,0.7405,0.7318,0.7472,0.7291,254524909,
2025-03-26,0.721,0.744,0.7469,0.7128,197211565,
2025-03-27,0.702,0.722,0.7266,0.7013,358434424,
2025-03-28,0.7384,0.705,0.7493,0.6611,1382905198,
2025-03-29,0.7251,0.7388,0.74,0.7251,48467999,
2025-03-30,0.7251,0.7251,0.7289,0.7251,8458901,
2025-03-31,0.7304,0.719,0.762,0.7129,795143067,
2025-04-01,0.7152,0.7349,0.75,0.7122,561341157,
2025-04-02,0.72,0.7242,0.729,0.7061,334146891,
2025-04-03,0.7105,0.722,0.735,0.7021,605689177,
2025-04-04,0.6755,0.7114,0.722,0.6677,583434299,
2025-04-05,0.6698,0.6757,0.6767,0.6592,73373611,
2025-04-06,0.6835,0.67,0.688,0.6676,47514001,
2025-04-07,0.6666,0.652,0.6937,0.62,1339557937,
2025-04-08,0.6869,0.6793,0.713,0.6688,1275256226,
2025-04-09,0.7058,0.6794,0.7149,0.6703,1542683252,
2025-04-10,0.72,0.711,0.72,0.6929,622786376,
2025-04-11,0.7247,0.7222,0.7432,0.7207,1230672928,
2025-04-12,0.732,0.7297,0.738,0.728,127960002,
2025-04-13,0.7315,0.7368,0.7382,0.7285,62244664,
2025-04-14,0.7292,0.7302,0.7367,0.7251,371633991,
2025-04-15,0.7314,0.729,0.7354,0.7273,219722349,
2025-04-16,0.7633,0.7397,0.7674,0.7357,1951696961,
2025-04-17,0.7459,0.7639,0.7705,0.735,1320426164,
2025-04-18,0.7262,0.7459,0.7464,0.7222,627058005,
2025-04-21,0.7275,0.7351,0.7614,0.725,2260013378,
2025-04-22,0.7185,0.733,0.7372,0.715,1279102507,
2025-04-23,0.7,0.721,0.721,0.6903,1115405374,
2025-04-24,0.6872,0.7001,0.7098,0.6817,730694479,
2025-04-25,0.6845,0.6851,0.6968,0.6793,640702817,
2025-04-26,0.6866,0.6855,0.6899,0.684,69761010,
2025-04-27,0.6882,0.6866,0.689,0.6862,28135298,
2025-04-28,0.676,0.6898,0.6923,0.6708,714141637,
2025-04-29,0.6602,0.673,0.6768,0.6521,742039719,
2025-04-30,0.6554,0.6617,0.6617,0.6451,374719457,
2025-05-02,0.6254,0.6559,0.6559,0.6251,307538690,
