;2018;2019;2020;2021;2022;2023;2024;LTM
"Дата отчета";02.11.2022;02.11.2022;02.11.2022;02.11.2022;05.05.2023;25.04.2024;21.04.2025;29.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Добыча золота, тыс тр унц";;;;;443;413;340;
"Выручка, млрд руб";;41.4;55.1;55.7;57.1;67.8;75.9;85.9
"Операционная прибыль, млрд руб";;9.70;19.4;17.7;10.1;13.8;18.1;19.4
"EBITDA, млрд руб";;17.2;26.4;29.3;25.2;30.9;34.4;35.6
"Чистая прибыль, млрд руб";;8.21;15.1;12.5;-20.1;0.687;8.82;10.7
"Операционный денежный поток, млрд руб";;15.0;20.5;17.2;18.3;18.1;23.6;19.3
"CAPEX, млрд руб";;9.70;10.8;18.8;18.9;22.1;25.7;24.2
"FCF, млрд руб";;3.86;8.30;-2.15;-1.55;-2.52;-7.79;-9.39
"Див доход, ао, %";;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%
"Дивиденды/прибыль, %";;0%;0%;0%;0%;0%;0%;0
"Опер. расходы, млрд руб";;3.51;6.80;4.26;6.30;9.01;8.59;9.80
"Себестоимость, млрд руб";;28.1;28.9;33.8;40.7;45.0;49.3;57.2
"Амортизация, млрд руб";;4.9;6.1;8.0;9.8;9.5;11.2;11.2
"Расх на персонал, млрд руб";;6.90;9.30;10.4;10.4;11.7;15.8;19.3
"Процентные расходы, млрд руб";;0.480;1.35;1.50;2.20;3.20;6.86;8.18
"Активы, млрд руб";51.7;59.1;90.8;122.3;99.1;120.5;154.6;169.0
"Чистые активы, млрд руб";24.3;25.6;38.2;43.8;25.5;32.5;48.0;55.3
"Долг, млрд руб";10.7;10.2;31.5;46.4;51.4;33.8;71.6;76.0
"Наличность, млрд руб";0.440;0.360;0.750;1.80;0.650;0.580;0.524;1.47
"Чистый долг, млрд руб";10.3;9.84;30.8;44.6;50.8;33.2;71.1;74.5
"Цена акции ао, руб";;;0.550;0.550;0.550;0.639;0.749;0.801
"Число акций ао, млн";"200 100";"200 100";"200 100";"200 100";"200 100";"200 100";"222 779";"222 779"
"Free Float, %";;;;;;6.30%;10.00%;11.0%
"Капитализация, млрд руб";0.00;0.00;110.1;110.1;110.1;127.9;166.8;178.5
"EV, млрд руб";10.3;9.84;140.8;154.7;160.8;161.1;237.8;253.0
"Баланс стоимость, млрд руб";24.3;25.6;38.2;43.8;25.5;32.5;48.0;55.3
"EPS, руб";0.00;0.04;0.08;0.06;-0.10;0.00;0.04;0.05
"FCF/акцию, руб";0.00;0.02;0.04;-0.01;-0.01;-0.01;-0.03;-0.04
"BV/акцию, руб";0.12;0.13;0.19;0.22;0.13;0.16;0.22;0.25
"Рентаб EBITDA, %";;41.5%;47.9%;52.6%;44.2%;45.6%;45.3%;41.5%
"Чистая рентаб, %";;19.8%;27.5%;22.5%;-35.1%;1.0%;11.6%;12.4%
"Доходность FCF, %";;;7.5%;-2.0%;-1.4%;-2.0%;-4.7%;-5.3%
"ROE, %";0.0%;32.1%;39.6%;28.6%;-78.6%;2.1%;18.4%;19.3%
"ROA, %";0.0%;13.9%;16.7%;10.3%;-20.2%;0.6%;5.7%;6.3%
P/E;;0.00;7.27;8.78;-5.49;186.1;18.9;16.7
P/FCF;;0.00;13.3;-51.2;-71.0;-50.7;-21.4;-19.0
P/S;;0.00;2.00;1.98;1.93;1.89;2.20;2.08
P/BV;0.00;0.00;2.88;2.51;4.32;3.93;3.47;3.23
EV/EBITDA;;0.57;5.33;5.28;6.38;5.21;6.91;7.11
Долг/EBITDA;;0.57;1.16;1.52;2.01;1.07;2.07;2.09
"R&D/CAPEX, %";;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0
"CAPEX/Выручка, %";;23%;20%;34%;33%;33%;34%;28%
