date,close,open,high,low,volume_rub,market_cap_bln
2025-02-10,307.7,304.7,314.1,303.3,3275045762,
2025-02-11,317.4,307.5,318.1,304.6,2277552322,
2025-02-12,329,317.6,334.5,311,4674112037,
2025-02-13,325.8,332.4,345.2,320.4,3751750341,
2025-02-14,319,347,350,310.2,3254734505,
2025-02-17,334.2,323.6,335.1,322,2236367298,
2025-02-18,322.4,335.9,337.5,319.3,1997832436,
2025-02-19,327.4,322.9,330,316.1,1511148440,
2025-02-20,330,327.6,335.8,325.4,1613594895,
2025-02-21,329.6,330,333,325,848957454,
2025-02-24,340.2,329.6,340.8,329.5,1937968075,
2025-02-25,353.1,340.4,356.4,336.7,2580967530,
2025-02-26,334.9,353.1,358.8,332.9,4266239180,
2025-02-27,330.8,336.6,339.9,328.4,1560280814,
2025-02-28,333.6,330.1,336,322.8,2058122417,
2025-03-01,334.9,333.9,335.5,333.6,26855228,
2025-03-02,333.5,334.6,336.7,333.5,32459011,
2025-03-03,321.2,332,333,320.3,1260288483,
2025-03-04,336.8,321.2,339.4,321.1,2389700406,
2025-03-05,333.4,337,343.3,328.8,1760786534,
2025-03-06,332.1,334.4,338.7,329.6,977112016,
2025-03-07,330.3,334,338.2,323.8,979693984,
2025-03-10,326.9,330.4,333.4,326.6,460480091,
2025-03-11,327,327.4,330.7,322.4,780623863,
2025-03-12,321.8,327,327.4,317.2,849205124,
2025-03-13,322.6,321.8,324.2,312.7,1138278025,
2025-03-14,327.9,321.4,328.2,317.5,862188755,
2025-03-15,327.4,328.6,330.6,326.1,80637192,
2025-03-16,331.2,327.4,331.8,327.3,70864340,
2025-03-17,334,331.4,336,330.1,765401274,
2025-03-18,326.8,335,337.5,325.5,1029190107,
2025-03-19,328.1,326.6,332.2,322.2,918479828,
2025-03-20,301.5,328.5,333.4,298.6,11428103013,
2025-03-21,294.4,300.6,301.5,290.4,6437009652,
2025-03-24,284.5,294,294.7,284.2,1886520011,
2025-03-25,291.8,284.6,292.9,283.1,1607604396,
