;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;LTM
"Дата отчета";;;24.10.2019;01.03.2019;01.03.2019;26.02.2020;04.03.2021;03.03.2022;16.03.2023;21.03.2024;20.03.2025;13.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Выручка, млрд руб";32.7;36.3;42.8;57.5;66.1;96.2;100.5;126.1;128.8;132.8;147.6;153.1
"Операционная прибыль, млрд руб";;;;;;;;29.4;25.8;-0.620;-5.00;6.26
"EBITDA, млрд руб";16.9;18.1;18.7;20.6;27.1;28.1;19.3;29.5;14.9;0.500;-4.90;6.24
"Чистая прибыль, млрд руб";11.5;9.92;11.6;14.2;15.1;18.7;-20.9;-15.5;-27.2;-34.3;-95.5;-83.6
"Чистая прибыль н/с, млрд руб";;;11.8;2.26;-8.06;18.9;;;-3.90;;;
"Операционный денежный поток, млрд руб";;;12.6;19.3;12.5;12.9;23.0;20.9;12.6;1.30;-10.7;-17.6
"CAPEX, млрд руб";;;3.83;4.38;6.65;8.39;11.1;12.7;20.3;32.4;26.9;21.5
"FCF, млрд руб";;;;;;;7.90;2.90;-23.8;-46.4;-44.8;-34.4
"Див доход, ао, %";;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%
"Дивиденды/прибыль, %";0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0
"Опер. расходы, млрд руб";;;25.9;39.3;62.6;68.0;81.3;96.6;103.0;133.4;152.6;143.7
"Амортизация, млрд руб";;;;;;;;;18.1;23.7;28.8;30.7
"Расх на персонал, млрд руб";;;10.7;13.1;22.7;21.5;27.0;27.9;38.9;55.9;67.3;64.0
"Процентные расходы, млрд руб";;;0.000;0.000;0.013;1.46;2.60;3.00;4.97;6.79;20.5;26.3
"Активы, млрд руб";;;185.0;191.6;204.8;255.0;291.0;297.9;360.9;400.7;333.5;338.1
"Чистые активы, млрд руб";;;163.4;166.1;164.7;184.7;180.0;169.9;170.3;137.5;44.8;143.4
"Долг, млрд руб";;;0.120;0.000;0.000;23.5;45.2;57.9;124.5;168.2;202.7;114.7
"Наличность, млрд руб";;;5.39;15.4;11.7;9.78;39.3;23.7;48.8;51.3;28.4;37.8
"Чистый долг, млрд руб";0.00;0.00;-5.27;-15.4;-11.7;13.7;5.90;34.1;75.8;116.9;174.3;77.0
"Цена акции ао, руб";;;"1 121";"1 666";"1 624";"1 381";"1 983";869.0;436.0;561.4;308.2;319.0
"Число акций ао, млн";;;208.6;208.6;208.6;208.6;226.1;226.1;226.1;226.1;239.0;584.4
"Free Float, %";;;;;;;53.0%;;;47.0%;47.0%;47.0%
"Капитализация, млрд руб";0.00;0.00;233.8;347.5;338.8;288.1;448.4;196.5;98.6;127.0;73.7;186.4
"EV, млрд руб";0.00;0.00;228.6;332.2;327.0;301.8;454.3;230.7;174.4;243.9;248.0;263.3
"Баланс стоимость, млрд руб";0.00;0.00;1.16;8.03;3.51;24.5;24.7;13.0;-9.10;-58.6;-132.7;-28.0
"EPS, руб";;;55.7;68.3;72.3;89.6;-92.4;-68.5;-120.3;-151.6;-399.6;-143.0
"FCF/акцию, руб";;;0.00;0.00;0.00;0.00;34.9;12.8;-105.4;-205.0;-187.4;-58.8
"BV/акцию, руб";;;5.56;38.5;16.8;117.3;109.2;57.4;-40.2;-259.1;-555.2;-47.9
"Рентаб EBITDA, %";51.5%;49.9%;43.7%;35.8%;41.1%;29.2%;19.2%;23.4%;11.6%;0.4%;-3.3%;4.1%
"Чистая рентаб, %";35.1%;27.3%;27.2%;24.8%;22.8%;19.4%;-20.8%;-12.3%;-21.1%;-25.8%;-64.7%;-54.6%
"Доходность FCF, %";;;0.0%;0.0%;0.0%;0.0%;1.8%;1.5%;-24.2%;-36.5%;-60.8%;-18.4%
"ROE, %";;;7.1%;8.6%;9.2%;10.1%;-11.6%;-9.1%;-16.0%;-24.9%;-213.2%;-58.3%
"ROA, %";;;6.3%;7.4%;7.4%;7.3%;-7.2%;-5.2%;-7.5%;-8.6%;-28.6%;-24.7%
P/E;0.00;0.00;20.1;24.4;22.5;15.4;-21.5;-12.7;-3.62;-3.70;-0.77;-2.23
P/FCF;;;;;;;56.8;67.8;-4.14;-2.74;-1.64;-5.42
P/S;0.00;0.00;5.47;6.05;5.12;2.99;4.46;1.56;0.77;0.96;0.50;1.22
P/BV;;;201.6;43.3;96.5;11.8;18.2;15.1;-10.8;-2.17;-0.56;-6.65
EV/EBITDA;0.00;0.00;12.2;16.2;12.1;10.8;23.5;7.83;11.7;487.7;-50.6;42.2
Долг/EBITDA;0.00;0.00;-0.28;-0.75;-0.43;0.49;0.31;1.16;5.08;233.8;-35.6;12.3
"Персонал, чел";;"3 122";;;;"6 334";"8 842";"10 392";;;"12 952";
"Производительность труда, млн руб/чел/год";;11.6;;;;15.2;11.4;12.1;;;11.4;
"Расходы/чел/год, тыс.р";;0.00;;;;"3 395";"3 054";"2 685";;;"5 196";
"R&D/CAPEX, %";;;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0
"CAPEX/Выручка, %";0%;0%;9%;8%;10%;9%;11%;10%;16%;24%;18%;14%
"Качество фин.отчетности";;;;;;;;;5;5;5;5
"Презентации для инвесторов";;;;;;;;;5;5;5;5
"Присутствие на смартлабе";;;;;;;;;1;1;3;1
"Сайт для инвесторов";;;;;;;;;5;5;5;5
"Календарь инвесторов";;;;;;;;;3;3;3;3
"Обратная связь";;;;;;;;;5;5;5;5
