date,close,open,high,low,volume_rub,market_cap_bln
2025-02-10,80,81.8,82.72,79.7,3440285771,
2025-02-11,82.11,80.24,82.11,80.07,2239985315,
2025-02-12,88.14,82.11,88.21,81.06,11706993777,
2025-02-13,89.54,88.59,89.87,85.06,12380199630,
2025-02-14,87.79,85.02,94.23,80.5,24913822017,
2025-02-17,98.76,90.44,98.77,90.04,32308575737,
2025-02-18,91.73,99.73,101.33,90.59,43134679317,
2025-02-19,94.5,92.9,94.97,90.73,17644500980,
2025-02-20,92.92,94.53,95.05,92.42,11148252056,
2025-02-21,92.36,92.61,93.58,90.74,8759772882,
2025-02-24,96.22,92.84,96.23,92.58,14627603810,
2025-02-25,93.68,96.45,97.44,93.4,18884794118,
2025-02-26,90.48,93.89,94.32,89.67,14301819629,
2025-02-27,89.3,90.47,91.82,89.05,9414574435,
2025-02-28,91.7,88.99,92.62,88.44,12732010702,
2025-03-01,91.73,92,92.19,91.02,191730791,
2025-03-02,90.49,91.24,91.49,90.41,448993222,
2025-03-03,90.77,90.49,91.75,88.12,9382463065,
2025-03-04,93.18,91,94.5,90.86,10304383948,
2025-03-05,90.52,93.3,93.49,90.38,9261198950,
2025-03-06,91.15,90.53,91.7,89.4,5414868346,
2025-03-07,91.07,91.18,93.81,88.5,14517382005,
2025-03-10,90.99,91.19,92,90.15,4301487075,
2025-03-11,90.7,91.29,91.86,89.5,5836773356,
2025-03-12,90.31,90.6,91.18,89.75,3378964801,
2025-03-13,89.86,90.01,91.67,87.6,10265246380,
2025-03-14,90.99,89.5,91.5,89.18,4796044483,
2025-03-15,91.02,91.13,91.22,90.95,137731723,
2025-03-16,92.29,91.03,92.36,91,740165671,
2025-03-17,92.6,92.5,93.75,91.2,7864565153,
2025-03-18,90.13,93,93.18,90.05,10990108851,
2025-03-19,90.65,90.38,91.25,89.3,5257130996,
2025-03-20,90.72,90.66,91.35,90.3,3485236723,
2025-03-21,89.82,90.62,91.33,89.58,3899041781,
2025-03-24,89.05,89.82,89.87,88.5,2680966122,
2025-03-25,90.99,88.82,91.45,87.74,6439072531,
2025-03-26,89.11,91.22,91.46,88.87,4690156929,
2025-03-27,87.07,89.02,89.9,87,5397697608,
2025-03-28,82.35,87,87.76,82.2,9321787829,
2025-03-29,81.59,82.56,82.6,81.59,439435083,
2025-03-30,81.59,81.59,81.59,81.59,40656623,
2025-03-31,81.96,80,83.54,79.38,5782385530,
2025-04-01,78.78,82.04,83.46,78.55,5452837551,
2025-04-02,79.88,78.78,80.62,78.31,4691606428,
2025-04-03,77.86,80.02,80.89,75.7,5919037925,
2025-04-04,72.25,78.5,78.66,72.08,8444707086,
2025-04-05,72.32,72.02,72.9,72.02,614250120,
2025-04-06,73.73,72.6,73.85,72.19,721192529,
2025-04-07,70.89,72.07,72.7,67.76,10866242309,
2025-04-08,67.76,71.66,72.64,67.51,7323085776,
2025-04-09,73.28,67.34,73.49,66.1,11601921692,
2025-04-10,72.2,73.67,74.41,71.74,6056564772,
2025-04-11,76.76,73.25,76.84,72.96,6485062153,
2025-04-12,78.17,77,78.28,76.91,1078938775,
2025-04-13,78.19,78.1,78.24,77.7,574625205,
2025-04-14,75.5,78.2,78.29,75.09,4795231739,
2025-04-15,77.1,75.88,77.47,75.23,5438907749,
2025-04-16,79.73,76.85,80.18,76.34,7559387071,
2025-04-17,83.28,79.74,83.37,79.73,8054955493,
2025-04-18,83.3,82,84.18,80.61,9238737118,
2025-04-21,85.39,84,85.87,83.65,6115485265,
2025-04-22,86.32,85.52,88.1,84.41,9457169182,
2025-04-23,85.4,86.35,86.59,83.4,7485048367,
2025-04-24,85.52,85.4,86.97,84.93,4942765915,
2025-04-25,87.24,86.4,87.78,85.92,6826801805,
2025-04-26,87.84,87.62,89.15,87.45,2291979238,
2025-04-27,87.93,88,88.26,87.65,451504246,
2025-04-28,98.55,87.93,109.04,85.9,63476053120,
2025-04-29,97.3,98.75,100.62,95.08,24833865788,
