;2008Q4;2009Q4;2010Q4;2011Q4;2012Q4;2013Q4;2014Q4;2015Q2;2015Q3;2015Q4;2016Q1;2016Q2;2016Q3;2016Q4;2017Q1;2017Q2;2017Q3;2017Q4;2018Q1;2018Q2;2018Q3;2018Q4;2019Q1;2019Q2;2019Q3;2019Q4;2020Q1;2020Q2;2020Q3;2020Q4;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;LTM
"Дата отчета";;;;;;27.06.2018;27.06.2018;29.05.2018;29.05.2018;29.05.2018;29.05.2018;29.05.2018;29.05.2018;25.05.2018;17.05.2018;29.05.2018;29.05.2018;16.04.2018;17.05.2018;09.08.2018;08.11.2018;26.02.2019;30.05.2019;08.08.2019;07.11.2019;26.02.2020;08.05.2020;07.08.2020;09.11.2020;25.02.2021;30.04.2021;30.07.2021;27.10.2021;22.02.2022;;;;05.04.2023;27.04.2023;12.07.2023;23.11.2023;20.02.2024;25.04.2024;30.07.2024;28.10.2024;25.02.2025;25.04.2025;31.07.2025;24.10.2025;25.02.2026;25.02.2026
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Чистый операц доход, млрд руб";;;;;;;;;123.0;118.5;111.1;125.9;124.1;149.5;145.2;131.2;127.8;188.3;152.6;163.7;162.6;162.4;137.0;132.8;155.2;185.4;163.2;127.3;159.9;158.6;194.0;211.0;202.0;215.7;;;;;307.3;316.8;243.2;238.4;269.9;251.5;248.9;302.5;358.3;230.6;230.9;447.2;"1 267"
"Чист. проц. доходы, млрд руб";;;;;;;;65.7;85.9;93.1;98.3;108.7;103.4;104.6;113.0;114.1;116.6;116.5;116.3;121.8;120.5;110.0;104.2;109.4;110.2;116.8;119.7;132.3;135.5;144.5;145.6;160.0;169.7;171.0;;;;;126.4;197.0;197.9;190.6;153.8;134.5;133.9;97.1;3.10;94.2;121.1;215.2;433.6
"Чист. комисс. доход, млрд руб";;;;;;;;17.2;21.4;22.2;17.4;19.2;19.3;25.9;19.7;23.4;23.9;28.3;21.9;24.2;23.3;20.7;18.9;26.0;22.4;41.2;32.4;24.9;31.8;52.3;38.6;45.5;39.4;35.0;;;;;42.0;55.6;60.6;58.8;51.7;60.7;74.2;82.4;72.7;72.9;80.6;80.9;307.1
"Доходы по цб, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;;44.0;-29.9;24.5;;2.60;;;;;;;;57.1;64.2;-15.3;;55.7;28.9;20.8;159.5;252.5;82.2;30.5;138.8;504.0
"Чистая прибыль, млрд руб";;;;;;;;1.20;6.20;12.6;0.600;14.8;18.7;17.5;27.6;30.3;17.4;44.8;55.5;43.0;41.2;39.1;46.5;30.3;51.2;74.0;39.8;2.10;17.2;15.9;85.1;85.5;87.0;67.7;;;;;147.2;142.6;86.5;55.9;118.2;154.7;97.9;164.5;136.6;139.2;95.4;112.5;483.7
"Див.выплата, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;3.78;;10.00;;;;32.7;;;;;;;;;;;;;;;;;275.8;;;;275.8
"Дивиденд, руб/акцию";;;;;;;;;;;;;;;;;;;;;;;;;;0,00077;;;;0,0014;;;;;;;;;;;;;;;;;25,58;;;;25,58
"Див доход, ао, %";;;0.0%;0.0%;0.0%;0.0%;0.0%;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;31.0%;0.0%;0.0%;0.0%;28.7%
"Дивиденд ап, руб/акцию";;;;;;;;;;;;;0,00581369;;;;;;;;;;;0,00018;;0,00019;;;;0,00031;;;;;;;;;;;;;;;;;;;;;
"Див доход, ап, %";;;;;;;;;0.0%;0.0%;0.0%;0.0%;58.1%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;1.8%;0.0%;1.9%;0.0%;0.0%;0.0%;3.1%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%
"Дивиденды/прибыль, %";;;;;;;;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;12%;0%;14%;0%;0%;0%;206%;0%;0%;0%;0%;;;;;0%;0%;0%;0%;0%;0%;0%;0%;202%;0%;0%;0%;57%
"Опер. расходы, млрд руб";;;;;;;;51.2;55.6;60.5;60.6;55.7;55.3;62.3;61.6;61.0;62.4;75.9;63.1;61.6;62.6;72.5;60.7;69.2;58.7;69.9;64.1;68.9;67.8;69.2;71.4;76.5;70.3;65.8;;;;;78.6;92.9;98.5;130.3;110.8;112.8;110.8;217.9;139.7;128.9;134.0;241.3;643.9
"Расх на персонал, млрд руб";;;;;;;;;;;;;;;;;;;;;;32.1;35.4;64.9;37.6;40.9;40.9;40.4;40.0;43.8;42.7;42.0;41.1;55.6;;;;;;;;;;;;;;;;;
"Создание резервов, млрд руб";;;;;;;;;57.0;41.2;39.7;62.3;43.8;64.5;45.9;30.1;42.2;53.7;20.7;48.3;42.4;55.7;15.2;30.2;32.4;25.5;45.1;68.8;72.0;63.9;22.6;31.7;17.2;;;;;;48.6;45.5;35.9;57.2;28.6;34.2;30.3;0.000;57.8;52.0;11.4;79.1;200.3
"Списание. плох.кредитов, млрд руб";;;;;;;;4.00;73.2;59.9;12.0;23.5;15.3;;10.7;63.5;40.4;67.2;;;;;;;;;6.20;4.60;23.6;37.8;22.4;26.5;20.3;;;;;;;;;;;;;;;;;;
"Наличность, млрд руб";;;;;;;695.2;;;570.5;;;;452.9;;;;773.8;545.3;882.1;738.9;935.8;;;"1 022";"1 335";"1 252";"1 428";"1 128";"1 230";"1 354";"1 300";"1 335";"1 174";;;;918.7;"1 101";"1 192";"1 205";"1 211";"1 584";"1 101";"1 751";"2 018";"1 935";"1 686";"1 575";"1 884";"1 884"
"Чистый долг, млрд руб";0.00;0.00;0.00;0.00;0.00;0.00;-695.2;0.00;0.00;-570.5;0.00;0.00;0.00;-452.9;0.00;0.00;0.00;-773.8;-545.3;-882.1;-738.9;-935.8;0.00;0.00;"-1 022";"-1 335";"-1 252";"-1 428";"-1 128";"-1 230";"-1 354";"-1 300";"-1 335";"-1 174";0.00;0.00;0.00;-918.7;"-1 101";"-1 192";"-1 205";"-1 211";"-1 584";"-1 101";"-1 751";"-2 018";"-1 935";"-1 686";"-1 575";"-1 884";"-1 884"
"Активы банка, млрд руб";"3 697";"3 611";"4 291";"6 799";"7 416";"8 769";"12 191";;"12 792";"13 642";;"12 334";"12 359";"12 586";"12 457";"12 609";"12 894";"13 009";"13 109";"13 863";"14 068";"14 760";"14 841";"15 055";"15 624";"15 516";"16 589";"16 347";"17 426";"18 142";"18 588";"19 649";"20 592";"20 859";;;;"24 424";"25 635";"26 683";"28 207";"29 382";"31 124";"31 325";"33 668";"36 070";"35 728";"35 708";"35 881";"36 884";"36 884"
"Капитал, млрд руб";;;554.3;603.5;766.1;947.1;"1 131";;"1 519";"1 516";;"1 438";"1 461";"1 442";"1 496";"1 454";"1 441";"1 480";"1 466";"1 427";"1 469";"1 523";"1 548";"1 547";"1 595";"1 653";"1 741";"1 723";"1 724";"1 722";"1 869";"1 988";"2 089";"2 184";;;;"1 491";"1 793";"2 003";"2 101";"2 078";"2 238";"2 432";"2 502";"2 689";"2 758";"2 644";"2 788";"2 731";"2 731"
"Кредитный портфель, млрд руб";;;;;"4 762";"5 969";"9 150";;"9 517";"10 110";;"9 363";"9 410";"9 487";"9 334";"9 516";"9 627";"9 773";"9 953";"10 206";"10 969";"11 427";"11 291";"11 623";"11 913";"11 461";"12 059";"11 947";"12 937";"12 264";"12 239";"13 782";"14 336";"13 791";;;;"17 356";"17 926";"19 017";"20 083";"21 000";"22 130";"23 046";"23 730";"23 764";"23 906";"23 930";"23 962";"24 493";"24 493"
"Кредиты юрлицам, млрд руб";;;;;;;;;;"8 150";;;;"7 311";"7 105";"7 194";"7 200";"7 287";"7 353";"7 458";"8 306";"8 439";"8 125";"8 324";"8 491";"8 096";"8 565";"8 347";"9 189";"9 305";"9 119";"9 507";"9 865";"9 931";;;;"11 755";"12 096";"12 894";"13 394";"14 019";"14 967";"15 406";"16 042";"15 938";"16 260";"16 400";"16 511";"17 201";"17 201"
"Кредиты физлицам, млрд руб";;;;;;;;;;"1 960";;;;"2 176";"2 229";"2 322";"2 426";"2 486";"2 599";"2 749";"2 663";"2 989";"3 166";"3 300";"3 421";"3 365";"3 493";"3 600";"3 748";"3 867";"4 027";"4 275";"4 771";"4 765";;;;"5 601";"5 830";"6 123";"6 689";"6 980";"7 163";"7 641";"7 689";"7 825";"7 648";"7 526";"7 451";"7 292";"7 292"
"Депозиты, млрд руб";;;;;;;;;;"7 267";;;;"7 346";"8 130";"8 511";"9 066";"9 145";"9 333";"9 839";"9 740";"10 404";"10 149";"10 738";"11 288";"10 974";"11 820";"11 852";"12 369";"12 831";"13 691";"14 360";"15 128";"15 150";;;;"18 546";"19 960";"20 288";"20 847";"22 347";"23 014";"23 731";"25 593";"26 927";"26 225";"26 090";"26 274";"27 896";"27 896"
"Депозиты юрлиц, млрд руб";;;;;;;;;;"4 384";;;;"4 342";"5 228";"5 399";"5 735";"5 523";"5 514";"5 775";"5 820";"5 996";"5 582";"6 030";"6 486";"5 933";"6 408";"6 584";"6 824";"7 095";"7 969";"8 448";"9 161";"8 758";;;;"11 134";"12 246";"12 147";"12 191";"12 742";"13 001";"13 185";"14 337";"13 907";"12 904";"12 480";"12 773";"13 877";"13 877"
