;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;LTM
"Дата отчета";;;;;;27.06.2018;27.06.2018;29.05.2018;25.05.2018;16.04.2018;26.02.2019;26.02.2020;25.02.2021;22.02.2022;05.04.2023;20.02.2024;25.02.2025;24.10.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Чистый операц доход, млрд руб";;;218.9;285.2;356.0;416.7;530.8;412.3;510.6;592.5;641.3;610.4;609.0;822.7;;"1 106";"1 073";"1 122"
"Чист. проц. доходы, млрд руб";;;171.1;227.0;246.0;323.0;347.3;289.1;415.0;460.2;468.6;440.6;531.7;646.3;298.0;761.4;487.2;315.5
"Чист. комисс. доход, млрд руб";;;28.8;47.4;48.3;55.4;63.1;76.2;81.8;95.3;127.6;122.0;136.8;158.5;147.7;217.0;269.0;308.6
"Доходы по цб, млрд руб";;;;;;;;34.2;8.80;12.8;21.1;63.1;55.0;;;87.5;264.9;524.7
"Чистая прибыль, млрд руб";;;58.2;89.4;85.8;101.5;0.800;1.70;51.6;120.1;178.8;202.0;80.6;325.3;-668.0;432.2;535.3;535.7
"Операционный денежный поток, млрд руб";;;;;;;;;;;;369.5;-158.8;"1 017";;;;
"Див.выплата, млрд руб";3.01;6.07;6.07;9.21;15.0;15.0;15.2;15.2;44.4;73.5;26.8;20.0;32.7;;;;275.8;275.8
"Дивиденд, руб/акцию";0,00134;0,00058;0,00058;0,00088;0,00143;0,00116;0,00117;0,00117;0,00117;0,00345;0,0011;0,00077;0,0014;;;;25,58;25,58
"Див доход, ао, %";;;0.6%;1.3%;2.7%;2.3%;1.7%;1.5%;1.6%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;32.1%;30.4%
"Дивиденд ап, руб/акцию";;;;;;;;0,000422;0,00052;0,000551;0,000024;0,00021;0,00031;;;;;
"Див доход, ап, %";;;;;;;;4.2%;5.2%;5.5%;0.2%;2.1%;3.1%;0.0%;0.0%;0.0%;0.0%;0.0%
"Дивиденды/прибыль, %";;;10%;10%;17%;15%;"1 896%";892%;86%;61%;15%;10%;41%;0%;0%;0%;52%;51%
"Опер. расходы, млрд руб";;;95.1;141.5;181.2;210.9;222.6;221.9;233.9;260.9;259.8;254.2;270.0;308.8;284.0;443.8;552.3;620.5
"Расх на персонал, млрд руб";;;;;;;182.7;213.5;145.7;155.2;143.2;157.8;165.1;181.4;;400.3;478.8;
