date,close,open,high,low,volume_rub,market_cap_bln
2025-02-10,3267.5,3266.5,3357,3266.5,5729109629,
2025-02-11,3318.5,3285,3353,3275,3566014260,
2025-02-12,3440,3323,3450,3318.5,6784916837,
2025-02-13,3419,3440,3675.5,3364,9079829316,
2025-02-14,3406.5,3419.5,3493.5,3350,6425824603,
2025-02-17,3470,3425,3480,3415,4150524838,
2025-02-18,3430,3470,3470,3406.5,2791480012,
2025-02-19,3445,3438,3466,3380.5,2227927815,
2025-02-20,3449.5,3450,3489.5,3350.5,2235803126,
2025-02-21,3448.5,3448,3470,3432,1153575286,
2025-02-24,3438.5,3448.5,3468.5,3414.5,2657794550,
2025-02-25,3414.5,3440,3460,3385,3221311088,
2025-02-26,3299,3414.5,3437.5,3276,4757297288,
2025-02-27,3222.5,3295.5,3362.5,3202,4869844700,
2025-02-28,3334,3220,3349.5,3175,4476318403,
2025-03-01,3333.5,3340,3352,3325.5,84662397,
2025-03-02,3320,3336,3349,3303.5,113030942,
2025-03-03,3257,3318,3340,3191,3353363373,
2025-03-04,3348.5,3260,3389,3260,3722952402,
2025-03-05,3322.5,3351,3380,3300,3043633322,
2025-03-06,3337.5,3304.5,3343.5,3277.5,1700725016,
2025-03-07,3393,3337,3433.5,3322.5,4555280703,
2025-03-10,3464.5,3393.5,3495,3393,4304407104,
2025-03-11,3547.5,3465,3565,3457,5821265319,
2025-03-12,3518,3550,3565,3440,3833764860,
2025-03-13,3513,3518.5,3547.5,3425,5097213900,
2025-03-14,3610,3511,3615.5,3487.5,4214543179,
2025-03-15,3630.5,3616,3640,3610,197841234,
2025-03-16,3644.5,3605,3645,3605,174365862,
2025-03-17,3648,3640,3666,3592,6410208576,
2025-03-18,3608,3648.5,3663,3580,3546818445,
2025-03-19,3736,3618,3744,3601,4675029564,
2025-03-20,3694,3745,3764,3654,4280610369,
2025-03-21,3648,3695,3719,3610,11676284008,
2025-03-24,3589.5,3653,3663,3570,5184458516,
2025-03-25,3587.5,3590,3609,3541,3639955888,
2025-03-26,3487.5,3598,3615,3472,4878834228,
2025-03-27,3503,3488,3546,3454,5939856687,
2025-03-28,3508,3501,3549.5,3475.5,4703036465,
2025-03-29,3487,3520,3524.5,3475.5,278387016,
2025-03-30,3426,3487,3505,3422.5,517625496,
2025-03-31,3507.5,3443.5,3524,3415,3719266184,
2025-04-01,3443,3507.5,3535,3424,4528214543,
2025-04-02,3418,3440,3462,3390.5,3093368440,
2025-04-03,3350,3415,3447,3300,4652114117,
2025-04-04,3246.5,3364,3375,3218,5044677006,
2025-04-05,3284.5,3246.5,3313.5,3181,798920662,
2025-04-06,3349.5,3287,3356.5,3277.5,746340727,
2025-04-07,3227,3300,3350,3190,6247421282,
2025-04-08,3209.5,3231.5,3285.5,3200,3450583372,
2025-04-09,3294.5,3212,3298,3090,5771277180,
2025-04-10,3235,3299.5,3303,3224,2245742554,
2025-04-11,3325.5,3242,3331.5,3235,2485070575,
2025-04-12,3351,3335,3355,3331,358462772,
2025-04-13,3375.5,3351,3388.5,3344,428308073,
2025-04-14,3351,3380,3389,3310,2519739138,
2025-04-15,3347,3351,3377,3323.5,1081886815,
2025-04-16,3388,3351,3414.5,3301.5,2471572759,
2025-04-17,3404,3390.5,3414.5,3372,1951859020,
2025-04-18,3350,3397,3400,3310.5,1946935612,
2025-04-21,3398,3373,3408,3360,1579493074,
2025-04-22,3400,3398,3420,3376,2300933339,
