;2012Q4;2013Q4;2014Q4;2015Q1;2015Q2;2015Q3;2015Q4;2016Q1;2016Q2;2016Q3;2016Q4;2017Q1;2017Q2;2017Q3;2017Q4;2018Q1;2018Q2;2018Q3;2018Q4;2019Q1;2019Q2;2019Q3;2019Q4;2020Q1;2020Q2;2020Q3;2020Q4;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;LTM
"Дата отчета";;03.07.2018;03.07.2018;;24.02.2021;24.02.2021;03.07.2018;24.02.2021;25.02.2021;24.02.2021;03.07.2018;19.04.2018;19.04.2018;19.04.2018;29.03.2018;26.04.2018;14.08.2018;24.10.2018;20.03.2019;25.04.2019;15.08.2019;22.10.2019;19.03.2020;24.04.2020;13.08.2020;26.10.2020;19.03.2021;27.04.2021;12.08.2021;26.10.2021;17.03.2022;27.04.2022;02.08.2022;25.10.2022;17.03.2023;18.04.2023;15.08.2023;17.10.2023;22.03.2024;22.04.2024;15.08.2024;28.01.2025;21.03.2025;05.05.2025;16.07.2025;27.10.2025;28.01.2026;27.10.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Число магазинов, шт";"3 802";"4 544";"5 483";"5 639";"5 971";"6 512";"7 020";"7 397";"7 936";"8 574";"9 187";"9 817";"10 506";"11 326";"12 121";"12 701";"13 178";"13 685";"14 431";"14 779";"15 260";"15 752";"16 297";"16 658";"17 025";"17 352";"17 707";"17 959";"18 295";"18 648";"19 121";"19 479";"19 779";"20 227";"21 323";"21 760";"22 682";"23 466";"24 472";"24 884";"25 466";"26 047";"27 015";"27 536";"28 301";"29 011";"29 790";"29 790"
"Открыто новых магазинов, шт";;;;;;;;377;560;;;630;689;820;795;580;477;507;746;348;481;492;545;361;367;327;355;252;336;353;473;358;300;448;"1 096";437;922;784;"1 006";412;582;581;968;521;765;710;779;"2 775"
"Общ. площадь магазинов, тыс. м2";"1 970";"2 223";"2 572";;;;"3 333";"4 302";"3 747";;"4 302";"4 550";"4 821";"5 145";"5 480";"5 773";"5 946";"6 155";"6 464";"6 599";"6 786";"7 009";"7 239";"7 327";"7 510";"7 680";"7 840";"7 936";"8 063";"8 212";"8 410";"8 528";"8 640";"8 755";"9 108";"9 203";"9 541";"9 860";"10 206";"10 336";"10 539";"10 727";"11 062";"11 238";"11 477";"11 718";"11 912";"11 912"
"Сопоставимые продажи, LFL, %";;;;;;;;;;;;7.3%;6.6%;4.6%;3.5%;0.5%;1.0%;0.5%;3.7%;5.0%;5.0%;3.9%;2.3%;5.7%;4.3%;6.9%;5.1%;2.1%;4.0%;4.8%;9.0%;11.7%;11.7%;12.4%;7.9%;6.5%;7.8%;10.2%;13.2%;14.8%;14.9%;13.8%;14.0%;14.6%;13.9%;10.6%;7.3%;7.3%
"Трафик, %";;;;;;;;;;;;4.6%;2.0%;2.5%;3.1%;-1.6%;1.7%;0.9%;2.2%;2.7%;3.3%;0.5%;1.8%;3.7%;-17.0%;-1.8%;-7.2%;-9.2%;14.7%;0.1%;1.5%;3.7%;0.6%;3.9%;4.3%;3.6%;6.6%;5.7%;3.0%;2.9%;2.9%;2.2%;3.8%;4.6%;1.5%;0.4%;0.5%;0.5%
"Средний чек, %";;;;;;;;;;;;2.6%;4.5%;2.0%;0.3%;2.2%;-0.7%;-0.4%;1.4%;2.2%;1.6%;3.4%;0.5%;1.9%;26.0%;8.8%;13.3%;12.4%;-9.3%;4.7%;7.3%;7.8%;11.0%;8.2%;3.5%;2.8%;1.1%;4.3%;9.9%;11.6%;11.7%;11.4%;9.9%;9.6%;12.2%;10.1%;6.8%;6.8%
"Средний чек, руб";;;;;;;;;372;;;392;379;363;395;395;372;360;397;401;375;369;396;404;466;395;441;451;420;411;470;484;465;445;484;494;467;463;530;518;494;488;580;568;584;566;618;618
"Торговый оборот GMV, млрд руб";;;;;;;;;;;;;;;;;0.2;0.3;0.6;0.9;0.9;0.9;1.7;2.3;5.8;4.7;9.5;11.7;11.9;11.7;17.6;20.7;16.0;15.9;22.1;27.9;29.6;31.9;46.6;44.7;44.3;44.0;6.6;81.2;81.2;72.7;90.6;325.7
