;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;LTM
"Дата отчета";;03.07.2018;03.07.2018;03.07.2018;03.07.2018;29.03.2018;20.03.2019;19.03.2020;19.03.2021;17.03.2022;17.03.2023;22.03.2024;21.03.2025;28.01.2026;27.10.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Число магазинов, шт";"3 802";"4 544";"5 483";"7 020";"9 187";"12 121";"14 431";"16 297";"17 707";"19 121";"21 323";"24 472";"27 015";"29 790";"29 790"
"Открыто новых магазинов, шт";;742;939;"1 537";"2 167";"2 934";"2 310";"1 866";"1 410";"1 414";"2 202";"3 149";"2 543";"2 870";"2 775"
"Общ. площадь магазинов, тыс. м2";"1 970";"2 223";"2 572";"3 333";"4 302";"5 480";"6 464";"7 239";"7 840";"8 410";"9 108";"10 206";"11 062";"11 912";"11 912"
"Сопоставимые продажи, LFL, %";;;;13.7%;7.7%;5.4%;1.5%;4.0%;5.5%;5.1%;10.8%;9.6%;14.4%;11.4%;7.3%
"Трафик, %";;;;;2.5%;3.0%;0.9%;2.0%;-6.0%;1.5%;3.1%;4.6%;2.9%;1.6%;0.5%
"Средний чек, %";;;;;5.0%;2.3%;0.6%;1.9%;12.2%;3.5%;7.5%;4.8%;11.1%;9.6%;6.8%
"Средний чек, руб";;;;372;381;382;381;385;425;438;469;488;542;592;618
"Торговый оборот GMV, млрд руб";;;;;;;4.3;20.1;20.0;47.9;70.4;136.0;139.6;324.2;325.7
"Количество заказов, млн";;;;;;;2.0;8.0;15.0;51.6;61.8;106.1;119.5;170.1;169.2
"Выручка, млрд руб";491.1;534.6;633.9;808.8;"1 034";"1 295";"1 533";"1 734";"1 978";"2 205";"2 605";"3 146";"3 908";"4 642";"4 482"
"Операционная прибыль, млрд руб";;;;;45.6;57.8;58.2;60.3;76.8;84.4;97.6;118.2;139.6;;187.3
"EBITDA, млрд руб";35.1;38.4;46.4;59.4;79.5;99.1;109.9;122.6;145.1;161.0;186.8;218.0;256.2;;258.2
"Чистая прибыль, млрд руб";;11.0;12.7;14.2;22.3;33.8;28.6;29.7;35.8;44.6;52.2;90.3;110.1;;81.2
"Чистая прибыль н/с, млрд руб";;;;;;31.4;28.6;25.9;39.2;48.5;52.2;90.3;110.1;;81.2
"Операционный денежный поток, млрд руб";;;;;74.9;58.7;98.0;80.4;102.0;163.7;155.2;200.1;277.4;;328.2
"CAPEX, млрд руб";29.2;22.6;34.3;71.1;80.7;98.6;83.7;81.2;89.9;97.9;81.6;148.4;157.2;;166.9
"FCF, млрд руб";;;;;;-28.8;5.48;0.037;17.8;74.3;79.2;66.0;47.5;;193.0
"Див.выплата, млрд руб";;;;0.000;0.000;21.6;25.0;30.0;50.0;0.000;0.000;0.000;158.9;;99.9
"Дивиденд, руб/акцию";;;;0;0;79,5;92,06;110,47;184,13;0;0;0;648;;368
"Див доход, ао, %";;;;;0.0%;3.7%;5.3%;5.2%;6.7%;0.0%;0.0%;0.0%;23.1%;0.0%;15.4%
"Дивиденды/прибыль, %";;0%;0%;0%;0%;64%;87%;101%;140%;0%;0%;0%;144%;;123%
"Опер. расходы, млрд руб";;;;;204.4;251.2;311.6;365.6;410.4;469.0;529.1;613.0;756.0;;865.9
"Себестоимость, млрд руб";;;;;783.7;986.1;"1 163";"1 308";"1 490";"1 651";"1 979";"2 378";"2 958";;"3 407"
"Амортизация, млрд руб";;;;;;;;;;;;84.6;97.8;;140.1
"Расх на персонал, млрд руб";;;;78.3;92.9;114.8;119.9;141.1;159.3;185.6;208.5;315.4;410.0;;273.5
"Процентные расходы, млрд руб";;;;16.6;17.2;15.1;18.7;18.1;16.6;16.6;18.4;19.8;34.1;;50.7
"Активы, млрд руб";;;;402.1;473.5;565.3;610.8;"1 074";"1 173";"1 287";"1 352";"1 583";"1 843";;"1 714"
"Чистые активы, млрд руб";;77.8;90.6;104.7;127.0;158.4;165.5;116.6;94.8;87.6;133.1;209.3;271.2;;169.7
"Долг, млрд руб";;110.5;131.0;144.2;156.0;194.3;207.8;228.0;262.0;294.3;234.5;228.2;288.7;;321.6
"Наличность, млрд руб";;7.61;25.6;8.96;18.2;27.6;24.4;18.6;20.0;27.0;43.2;40.8;260.6;;66.4
"Чистый долг, млрд руб";0.00;102.9;105.4;135.3;137.8;166.7;183.4;209.4;242.0;267.3;191.3;187.4;28.1;0.00;255.2
"Цена акции ао, руб";;;;;"1 820";"2 178";"1 725";"2 135";"2 753";"1 953";"1 502";"2 181";"2 800";"3 011";"2 388"
"Число акций ао, млн";67.9;67.9;67.9;67.9;271.6;271.6;271.6;271.6;271.6;271.6;271.6;271.6;271.6;271.6;271.6
"Free Float, %";;;;;;36.0%;;40.6%;;;;;29.0%;;29.0%
"Капитализация, млрд руб";0.00;0.00;0.00;0.00;494.3;591.5;468.5;579.7;747.6;530.2;407.8;592.3;760.4;817.7;648.5
"EV, млрд руб";0.00;102.9;105.4;135.3;632.1;758.2;651.9;789.1;989.6;797.6;599.1;779.7;788.5;817.7;903.7
"Баланс стоимость, млрд руб";0.00;77.8;90.6;29.4;46.7;68.1;70.8;14.6;-10.1;-17.4;20.2;47.0;98.4;0.00;-9.60
"EPS, руб";0.00;161.8;187.0;208.8;82.1;124.3;105.5;109.2;131.9;164.3;192.2;332.4;405.4;0.00;299.0
"FCF/акцию, руб";0.00;0.00;0.00;0.00;0.00;-106.2;20.2;0.14;65.7;273.5;291.6;243.0;174.9;0.00;710.6
"BV/акцию, руб";0.00;"1 146";"1 334";433.2;171.9;250.9;260.9;53.9;-37.0;-64.0;74.4;173.1;362.3;0.00;-35.3
"Рентаб EBITDA, %";7.1%;7.2%;7.3%;7.3%;7.7%;7.7%;7.2%;7.1%;7.3%;7.3%;7.2%;6.9%;6.6%;0.0%;5.8%
"Чистая рентаб, %";0.0%;2.1%;2.0%;1.8%;2.2%;2.6%;1.9%;1.7%;1.8%;2.0%;2.0%;2.9%;2.8%;0.0%;1.8%
"Доходность FCF, %";;;;;0.0%;-4.9%;1.2%;0.0%;2.4%;14.0%;19.4%;11.1%;6.2%;0.0%;29.8%
"ROE, %";;14.1%;14.0%;13.5%;17.5%;21.3%;17.3%;25.5%;37.8%;50.9%;39.2%;43.1%;40.6%;;47.8%
"ROA, %";;;;3.5%;4.7%;6.0%;4.7%;2.8%;3.1%;3.5%;3.9%;5.7%;6.0%;;4.7%
P/E;;0.00;0.00;0.00;22.2;17.5;16.4;19.5;20.9;11.9;7.81;6.56;6.91;;7.99
P/FCF;;;;;;-20.5;85.5;"15 667";41.9;7.14;5.15;8.97;16.0;;3.36
P/S;0.00;0.00;0.00;0.00;0.48;0.46;0.31;0.33;0.38;0.24;0.16;0.19;0.19;0.18;0.14
P/BV;;0.00;0.00;0.00;10.6;8.68;6.61;39.6;-74.4;-30.5;20.2;12.6;7.73;;-67.6
EV/EBITDA;0.00;2.68;2.27;2.28;7.95;7.65;5.93;6.44;6.82;4.95;3.21;3.58;3.08;;3.50
Долг/EBITDA;0.00;2.68;2.27;2.28;1.73;1.68;1.67;1.71;1.67;1.66;1.02;0.86;0.11;;0.99
"Персонал, чел";;;;"167 488";"196 128";"250 874";"278 399";"307 444";"339 716";;;"372 200";"417 058";;"416 000"
"Производительность труда, млн руб/чел/год";;;;4.83;5.27;5.16;5.51;5.64;5.82;;;8.45;9.37;;10.8
"Расходы/чел/год, тыс.р";;;;467.8;473.9;457.6;430.6;459.0;468.9;;;847.4;983.1;;657.4
"R&D/CAPEX, %";0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;;0
"CAPEX/Выручка, %";6%;4%;5%;9%;8%;8%;5%;5%;5%;4%;3%;5%;4%;0%;4%
"IR рейтинг";;;;;;;;;;;;;5.0;5.0;5.0
"Качество фин.отчетности";;;;;;;;;;;;;5;5;5
"Презентации для инвесторов";;;;;;;;;;;;;5;5;5
"Присутствие на смартлабе";;;;;;;;;;;;;5;5;5
"Годовой отчет";;;;;;;;;;;;;5;5;5
"Сайт для инвесторов";;;;;;;;;;;;;5;5;5
"Календарь инвесторов";;;;;;;;;;;;;5;5;5
"Обратная связь";;;;;;;;;;;;;5;5;5
