date,close,open,high,low,volume_rub,market_cap_bln
2025-02-10,4217,4219,4287,4185.5,4192535380,
2025-02-11,4287,4217,4293,4212,2972261325,
2025-02-12,4519.5,4294.5,4568,4264,9950052506,
2025-02-13,4492,4560,4598.5,4454.5,7516517815,
2025-02-14,4549,4794.5,4794.5,4440,7666461493,
2025-02-17,4709,4590.5,4718,4585,5644075547,
2025-02-18,4550,4718.5,4749.5,4511,6398341592,
2025-02-19,4646,4550,4669,4527,5199151872,
2025-02-20,4649,4660,4734,4610.5,7939383805,
2025-02-21,4667,4680,4697.5,4590,3185838330,
2025-02-24,4671,4667,4698,4608.5,3429832732,
2025-02-25,4623.5,4671,4689.5,4620,3323255883,
2025-02-26,4440,4624.5,4638,4412,7015983248,
2025-02-27,4377,4440,4519.5,4324,5510743859,
2025-02-28,4423,4377,4485,4300,6074727703,
2025-03-01,4438,4450,4455,4427,62016272,
2025-03-02,4376,4430.5,4432.5,4365,178287872,
2025-03-03,4347.5,4398.5,4399.5,4260,4778437147,
2025-03-04,4586,4368,4619.5,4356,6443801675,
2025-03-05,4497,4586,4630,4470,4227197706,
2025-03-06,4513.5,4498,4577.5,4480,2539056182,
2025-03-07,4553,4510,4640,4474,6022128714,
2025-03-10,4562.5,4565,4612,4537,2319831269,
2025-03-11,4564.5,4572,4614,4541.5,2596745005,
2025-03-12,4529,4565,4584.5,4501,2390067587,
2025-03-13,4480,4536,4550,4361,6441852719,
2025-03-14,4527,4478,4558,4390,3511016128,
2025-03-15,4527.5,4527,4544,4516,162024354,
2025-03-16,4584.5,4518.5,4597.5,4518.5,201615998,
2025-03-17,4673.5,4599,4675,4562,3273104231,
2025-03-18,4622,4678,4730,4610.5,5401547933,
2025-03-19,4641,4611,4654.5,4595.5,1992886217,
2025-03-20,4646,4641,4673.5,4566.5,2919370594,
2025-03-21,4625,4654.5,4699,4611,2104260338,
2025-03-24,4584.5,4644.5,4645,4555.5,1915091535,
2025-03-25,4646.5,4576,4660,4541,2339716947,
2025-03-26,4567.5,4652,4674,4550.5,1994860800,
2025-03-27,4446,4564,4574.5,4422.5,3239265357,
2025-03-28,4357,4444,4470,4324.5,4615581225,
2025-03-29,4293,4356,4357,4291.5,221042213,
2025-03-30,4291.5,4292,4323,4291.5,189481436,
2025-03-31,4476,4250,4520,4226,4321152232,
2025-04-01,4355.5,4482.5,4540,4345,3374282243,
2025-04-02,4409,4348,4435,4343.5,3233090538,
2025-04-03,4291,4416,4434,4211,3698525063,
2025-04-04,4088,4295,4313,4067,6022834442,
