;2011Q4;2012Q4;2013Q4;2014Q3;2014Q4;2015Q1;2015Q2;2015Q3;2015Q4;2016Q1;2016Q2;2016Q3;2016Q4;2017Q1;2017Q2;2017Q3;2017Q4;2018Q1;2018Q2;2018Q3;2018Q4;2019Q1;2019Q2;2019Q3;2019Q4;2020Q1;2020Q2;2020Q3;2020Q4;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;LTM
"Дата отчета";;;;;26.06.2018;;;29.10.2020;26.06.2018;29.10.2020;29.10.2020;29.10.2020;26.06.2018;29.10.2020;26.07.2018;29.10.2020;26.06.2018;25.04.2018;26.07.2018;29.10.2018;15.02.2019;25.04.2019;26.07.2019;25.10.2019;14.02.2020;28.04.2020;28.07.2020;28.10.2020;16.02.2021;28.04.2021;28.07.2021;27.10.2021;15.02.2022;27.04.2022;26.07.2022;03.11.2022;15.02.2023;27.04.2023;27.07.2023;30.09.2023;15.02.2024;05.07.2024;30.07.2024;29.10.2024;07.04.2025;25.04.2025;29.07.2025;29.10.2025;17.02.2026;17.02.2026
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Доля поиска, %";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;63.8%;64.5%;64.9%;65.5%;66.4%;67.2%;67.5%;68.0%;69.3%;69.3%
"Выручка, млрд руб";;;;13.1;14.7;12.3;13.9;15.4;18.1;16.5;18.0;19.3;22.1;20.7;22.1;23.4;27.9;26.6;29.7;32.6;38.8;37.3;41.4;45.0;51.7;47.0;47.9;58.3;71.6;73.1;81.4;91.3;110.3;106.0;117.8;133.2;164.8;163.3;182.5;204.8;249.6;228.3;249.3;276.8;340.6;306.5;332.5;366.1;435.9;"1 441"
"Операционная прибыль, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0.270;-4.72;-5.68;-2.61;-12.4;8.75;10.8;6.12;1.97;11.5;12.1;2.91;23.2;-15.3;25.4;18.2;19.5;41.1;53.0;60.0;173.6
"EBITDA, млрд руб";;;;;;3.57;4.82;6.02;6.56;5.77;6.76;6.90;6.70;6.87;7.21;5.70;9.29;7.70;8.84;10.7;12.3;10.8;13.1;13.9;13.2;12.1;8.47;15.0;13.8;11.0;5.78;5.62;9.72;1.27;25.7;20.0;17.2;12.8;24.8;26.5;32.9;37.6;47.6;54.7;48.7;48.9;66.0;78.1;87.8;280.8
"Чистая прибыль, млрд руб";;;;;;;;4.28;2.85;3.17;3.91;3.79;3.25;3.70;3.99;2.40;5.20;4.01;5.08;6.10;6.95;5.40;5.83;6.88;5.44;5.15;1.90;7.52;6.32;3.01;1.01;1.34;3.47;-8.12;13.1;5.01;0.749;8.17;15.7;11.5;11.9;21.6;22.7;25.1;31.5;12.8;30.4;44.7;53.5;141.4
"Чистая прибыль н/с, млрд руб";;;;;;;;;;1.07;2.06;2.44;1.21;0.819;3.48;0.900;3.50;1.85;33.3;4.77;5.73;3.52;3.42;4.38;-0.117;5.50;-3.74;21.8;0.415;-3.22;-4.66;-3.91;-2.86;-13.0;8.06;45.5;-1.10;5.79;14.6;7.68;-6.32;19.4;-31.8;7.60;16.3;-10.8;16.2;34.6;39.6;79.6
"Операционный денежный поток, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;7.69;-0.130;18.9;6.14;8.56;-4.87;2.20;3.40;-4.05;20.9;26.5;-1.60;22.5;18.8;32.3;39.3;36.5;41.4;56.6;48.0;21.7;25.1;27.2;208.3;282.3
"CAPEX, млрд руб";;;;2.47;3.00;4.84;4.03;2.52;2.52;1.46;2.49;2.76;2.92;3.87;3.86;2.10;2.56;1.16;9.01;4.31;13.9;1.98;7.72;5.31;5.53;2.41;10.3;4.69;7.18;3.56;13.7;8.50;18.9;18.0;7.70;4.61;20.3;6.70;25.2;31.0;27.8;18.4;22.5;38.0;45.7;24.1;23.1;39.7;59.0;145.9
